nanotube along the armchair direction

2238 atoms 

1 atom types 

#simulation box 
-0.710000 137.020669 xlo xhi
-9.619741 9.619741 ylo yhi
-9.619741 9.619741 zlo zhi

Masses

1 12.010000 

Atoms

155 1 8.596169 3.985032 -5.484926
156 1 8.596169 5.038330 -4.536532
157 1 7.368144 5.484926 -3.985032
158 1 7.368144 6.193602 -2.757569
159 1 8.596169 6.447917 -2.095055
160 1 8.596169 6.742601 -0.708676
161 1 9.824192 6.779741 0.000000
162 1 9.824192 6.631588 1.409587
163 1 11.052217 6.447917 2.095055
164 1 11.052217 5.871428 3.389870
165 1 9.824192 5.484926 3.985032
166 1 9.824192 4.536532 5.038330
167 1 11.052217 3.985032 5.484926
168 1 11.052217 2.757569 6.193602
169 1 9.824192 2.095055 6.447917
170 1 9.824192 0.708676 6.742601
171 1 11.052217 0.000000 6.779741
172 1 11.052217 -1.409587 6.631588
173 1 9.824192 -2.095055 6.447917
174 1 9.824192 -3.389870 5.871428
175 1 11.052217 -3.985032 5.484926
176 1 11.052217 -5.038330 4.536532
177 1 9.824192 -5.484926 3.985032
178 1 9.824192 -6.193602 2.757569
179 1 11.052217 -6.447917 2.095055
180 1 11.052217 -6.742601 0.708676
181 1 9.824192 -6.779741 0.000000
182 1 9.824192 -6.631588 -1.409587
183 1 11.052217 -6.447917 -2.095055
184 1 11.052217 -5.871428 -3.389870
185 1 9.824192 -5.484926 -3.985032
186 1 9.824192 -4.536532 -5.038330
187 1 11.052217 -3.985032 -5.484926
188 1 11.052217 -2.757569 -6.193602
189 1 9.824192 -2.095055 -6.447917
190 1 9.824192 -0.708676 -6.742601
191 1 11.052217 -0.000000 -6.779741
192 1 11.052217 1.409587 -6.631588
193 1 9.824192 2.095055 -6.447917
194 1 9.824192 3.389870 -5.871428
195 1 11.052217 3.985032 -5.484926
196 1 11.052217 5.038330 -4.536532
197 1 9.824192 5.484926 -3.985032
198 1 9.824192 6.193602 -2.757569
199 1 11.052217 6.447917 -2.095055
200 1 11.052217 6.742601 -0.708676
201 1 12.280240 6.779741 0.000000
202 1 12.280240 6.631588 1.409587
203 1 13.508265 6.447917 2.095055
204 1 13.508265 5.871428 3.389870
205 1 12.280240 5.484926 3.985032
206 1 12.280240 4.536532 5.038330
207 1 13.508265 3.985032 5.484926
208 1 13.508265 2.757569 6.193602
209 1 12.280240 2.095055 6.447917
210 1 12.280240 0.708676 6.742601
211 1 13.508265 0.000000 6.779741
212 1 13.508265 -1.409587 6.631588
213 1 12.280240 -2.095055 6.447917
214 1 12.280240 -3.389870 5.871428
215 1 13.508265 -3.985032 5.484926
216 1 13.508265 -5.038330 4.536532
217 1 12.280240 -5.484926 3.985032
218 1 12.280240 -6.193602 2.757569
219 1 13.508265 -6.447917 2.095055
220 1 13.508265 -6.742601 0.708676
221 1 12.280240 -6.779741 0.000000
222 1 12.280240 -6.631588 -1.409587
223 1 13.508265 -6.447917 -2.095055
224 1 13.508265 -5.871428 -3.389870
225 1 12.280240 -5.484926 -3.985032
226 1 12.280240 -4.536532 -5.038330
227 1 13.508265 -3.985032 -5.484926
228 1 13.508265 -2.757569 -6.193602
229 1 12.280240 -2.095055 -6.447917
230 1 12.280240 -0.708676 -6.742601
231 1 13.508265 -0.000000 -6.779741
232 1 13.508265 1.409587 -6.631588
233 1 12.280240 2.095055 -6.447917
234 1 12.280240 3.389870 -5.871428
235 1 13.508265 3.985032 -5.484926
236 1 13.508265 5.038330 -4.536532
237 1 12.280240 5.484926 -3.985032
238 1 12.280240 6.193602 -2.757569
239 1 13.508265 6.447917 -2.095055
240 1 13.508265 6.742601 -0.708676
241 1 14.736288 6.779741 0.000000
242 1 14.736288 6.631588 1.409587
243 1 15.964313 6.447917 2.095055
244 1 15.964313 5.871428 3.389870
245 1 14.736288 5.484926 3.985032
246 1 14.736288 4.536532 5.038330
247 1 15.964313 3.985032 5.484926
248 1 15.964313 2.757569 6.193602
249 1 14.736288 2.095055 6.447917
250 1 14.736288 0.708676 6.742601
251 1 15.964313 0.000000 6.779741
252 1 15.964313 -1.409587 6.631588
253 1 14.736288 -2.095055 6.447917
254 1 14.736288 -3.389870 5.871428
255 1 15.964313 -3.985032 5.484926
256 1 15.964313 -5.038330 4.536532
257 1 14.736288 -5.484926 3.985032
258 1 14.736288 -6.193602 2.757569
259 1 15.964313 -6.447917 2.095055
260 1 15.964313 -6.742601 0.708676
261 1 14.736288 -6.779741 0.000000
262 1 14.736288 -6.631588 -1.409587
263 1 15.964313 -6.447917 -2.095055
264 1 15.964313 -5.871428 -3.389870
265 1 14.736288 -5.484926 -3.985032
266 1 14.736288 -4.536532 -5.038330
267 1 15.964313 -3.985032 -5.484926
268 1 15.964313 -2.757569 -6.193602
269 1 14.736288 -2.095055 -6.447917
270 1 14.736288 -0.708676 -6.742601
271 1 15.964313 -0.000000 -6.779741
272 1 15.964313 1.409587 -6.631588
273 1 14.736288 2.095055 -6.447917
274 1 14.736288 3.389870 -5.871428
275 1 15.964313 3.985032 -5.484926
276 1 15.964313 5.038330 -4.536532
277 1 14.736288 5.484926 -3.985032
278 1 14.736288 6.193602 -2.757569
279 1 15.964313 6.447917 -2.095055
280 1 15.964313 6.742601 -0.708676
281 1 17.192337 6.779741 0.000000
282 1 17.192337 6.631588 1.409587
283 1 18.420361 6.447917 2.095055
284 1 18.420361 5.871428 3.389870
285 1 17.192337 5.484926 3.985032
286 1 17.192337 4.536532 5.038330
287 1 18.420361 3.985032 5.484926
288 1 18.420361 2.757569 6.193602
289 1 17.192337 2.095055 6.447917
290 1 17.192337 0.708676 6.742601
291 1 18.420361 0.000000 6.779741
292 1 18.420361 -1.409587 6.631588
293 1 17.192337 -2.095055 6.447917
294 1 17.192337 -3.389870 5.871428
295 1 18.420361 -3.985032 5.484926
296 1 18.420361 -5.038330 4.536532
297 1 17.192337 -5.484926 3.985032
298 1 17.192337 -6.193602 2.757569
299 1 18.420361 -6.447917 2.095055
300 1 18.420361 -6.742601 0.708676
301 1 17.192337 -6.779741 0.000000
302 1 17.192337 -6.631588 -1.409587
303 1 18.420361 -6.447917 -2.095055
304 1 18.420361 -5.871428 -3.389870
305 1 17.192337 -5.484926 -3.985032
306 1 17.192337 -4.536532 -5.038330
307 1 18.420361 -3.985032 -5.484926
308 1 18.420361 -2.757569 -6.193602
309 1 17.192337 -2.095055 -6.447917
310 1 17.192337 -0.708676 -6.742601
311 1 18.420361 -0.000000 -6.779741
312 1 18.420361 1.409587 -6.631588
313 1 17.192337 2.095055 -6.447917
314 1 17.192337 3.389870 -5.871428
315 1 18.420361 3.985032 -5.484926
316 1 18.420361 5.038330 -4.536532
317 1 17.192337 5.484926 -3.985032
318 1 17.192337 6.193602 -2.757569
319 1 18.420361 6.447917 -2.095055
320 1 18.420361 6.742601 -0.708676
321 1 19.648384 6.779741 0.000000
322 1 19.648384 6.631588 1.409587
323 1 20.876408 6.447917 2.095055
324 1 20.876408 5.871428 3.389870
325 1 19.648384 5.484926 3.985032
326 1 19.648384 4.536532 5.038330
327 1 20.876408 3.985032 5.484926
328 1 20.876408 2.757569 6.193602
329 1 19.648384 2.095055 6.447917
330 1 19.648384 0.708676 6.742601
331 1 20.876408 0.000000 6.779741
332 1 20.876408 -1.409587 6.631588
333 1 19.648384 -2.095055 6.447917
334 1 19.648384 -3.389870 5.871428
335 1 20.876408 -3.985032 5.484926
336 1 20.876408 -5.038330 4.536532
