# Density (kg/m3) Pressure (MPa)    Viscosity (10^-5 Pa*s)
22.7993 3   1.09183
122.614 13    1.57946
122.614 13    1.57946
122.614 13    1.57946
206.584 23    2.3519
251.866 33    2.96969
280.341 43    3.45488
300.941 53    3.86171
317.107 63    4.21825
330.45  73    4.53978
341.843 83    4.83546
351.807 93    5.11118
360.68  103   5.37098
368.692 113   5.61774
376.006 123   5.8536
382.743 133   6.08021
388.995 143   6.29884
394.832 153   6.51051
400.311 163   6.71606
405.477 173   6.91617
410.368 183   7.11141
415.014 193   7.30227
419.441 203   #VALOR!
423.672 213   #VALOR!
427.724 223   #VALOR!
431.614 233   #VALOR!
435.355 243   #VALOR!
438.961 253   #VALOR!
442.441 263   #VALOR!
445.805 273   #VALOR!
449.062 283   #VALOR!
452.219 293   #VALOR!
455.283 303   #VALOR!
458.26  313   #VALOR!
461.154 323   #VALOR!
463.973 333   #VALOR!
466.718 343   #VALOR!
469.396 353   #VALOR!
472.01  363   #VALOR!
474.562 373   #VALOR!
477.057 383   #VALOR!
479.497 393   #VALOR!
481.885 403   #VALOR!
484.223 413   #VALOR!
486.514 423   #VALOR!
488.76  433   #VALOR!
490.962 443   #VALOR!
493.124 453   #VALOR!
495.246 463   #VALOR!
497.33  473   #VALOR!
499.377 483   #VALOR!
501.39  493   #VALOR!
503.37  503   #VALOR!
505.317 513   #VALOR!
507.232 523   #VALOR!
509.118 533   #VALOR!
510.976 543   #VALOR!
