# dens (kg/m^3) press (MPa)	viscosity (10^-5 Pa.s)	D_self (10^-8 m^2/s)
50	7.05	1.06	29.03
100	13.16	1.46	14.07
150	19.6	1.85	9.05
200	28.2	2.47	6.36
250	42.17	3.24	4.59
300	67.23	4.46	3.39
350	112.55	6.17	2.44
400	192.17	8.85	1.73
450	325.29	14.2	1.20
500	537.56	23.91	0.72
