# dens (kg/m^3) press (MPa)	viscosity (10^-5 Pa.s)	D_self (10^-8 m^2/s)
50	5.44	1.01	28.68
100	10.23	1.45	14.24
150	14.99	1.74	9.17
200	20.67	2.20	6.35
250	30.65	2.84	4.74
300	48.13	3.78	3.51
350	81.92	5.22	2.59
400	142.86	7.41	1.81
450	251.42	11.28	1.26
500	435.31	16.71	0.83
