# dens (kg/m^3) press (MPa)	viscosity (10^-5 Pa.s)	D_self (10^-8 m^2/s)
50	6.11	0.98	26.7
100	10.94	1.33	12.93
150	15.59	1.83	8.28
200	21.75	2.26	5.87
250	32.29	2.85	4.28
300	52.29	4.47	3.14
350	91.83	6.11	2.24
400	163.2	9.00	1.56
450	286.23	14.34	1.02
500	486.32	25.04	0.62
