# dens (kg/m^3) press (MPa)	viscosity (10^-5 Pa.s)	D_self (10^-8 m^2/s)
50	6.46	1.08	31.41
100	12.23	1.53	15.33
150	18.5	1.89	9.91
200	27.1	2.36	6.94
250	40.44	2.87	5.01
300	63.0	3.86	3.77
350	103.61	5.37	2.78
400	174.75	7.79	2.06
450	296.19	10.31	1.4
500	496.31	16.8	0.95
