"Battid","Reduced Cell Formula","Type","Spacegroup","Average Voltage","Capacity Grav","Capacity Vol","Specific E Wh/kg","E Density Wh/l","Stability Charge","Stability Discharge",""
"mp-1172965_Li","Li4 –6CoO4","intercalation","P 2y","2.6","326","872","847","2266","0.06","0",""
"mp-767633_Li","Li4 –6Ti9O20","intercalation","P 1","2.77","68","235","188","653","0.06","0",""
"mp-759812_Li","Li4 –7Ti11O24","intercalation","P 1","2.5","84","297","210","743","0.06","0",""
"mp-761410_Li","LiMnV3(PO4)4","intercalation","P 2y","2.77","174","574","483","1593","0.03","0",""
"mp-764936_Li","Li1.6 –2FeO2","intercalation","C 2y","2.83","105","331","298","936","0.11","0",""
"mp-25317_Li","Li1.5 –2CuO2","intercalation","C 2y","2.73","122","445","334","1213","0.03","0",""
"mp-761715_Li","Li2 –3K2CoO4","intercalation","-P 2ybc","2.51","121","352","303","883","0","0",""
"mp-4226_Li","Li0 –1CrS2","intercalation","-P 3 2""","2.38","218","698","518","1663","0","0",""
"mp-1045358_Li","Li0 –0.5CrS2","intercalation","F 4d 2 3 1d","2.47","112","357","277","882","0.02","0",""
"mp-1222682_Li","Li0.5 –1BC","intercalation","-P 3 2""","2.31","450","969","1039","2236","0.26","0",""
"mp-1078168_Li","Li0 –1In2CuSe4","intercalation","I 4","2.51","44","213","109","535","0.05","0",""
"mp-19377_Li","Li0 –1La2MoO6","intercalation","-P 2ybc","2.59","56","339","145","877","0.06","0",""
"mp-1211167_Li","Li0 –1Cr4GaS8","intercalation","F 4 2 3","2.37","50","173","117","411","0","0",""
"mvc-14111_Al","Al1.33 –2FeO4","intercalation","-C 2y","2.86","308","1268","883","3632","0.17","0",""
"mp-1133344_Al","AlFe13Si2(SbO14)2","intercalation","P 1","2.87","203","937","583","2685","0.32","0",""
"mvc-10873_Zn","Zn0 –0.5CrO2","intercalation","F 4d 2 3 1d","2.35","230","1164","541","2741","0.19","0",""
"mvc-12916_Zn","ZnV3(FeO6)2","intercalation","-P 1","2.81","97","366","271","1028","0.11","0",""
"mvc-11645_Zn","Zn0 –0.5FeO2","intercalation","I 4bw 2bw 1bw","2.54","222","1140","564","2891","0.21","0",""
"mp-1047156_Zn","Zn0 –0.5CuO2","intercalation","F 4d 2 3 1d","2.38","209","1094","498","2609","0.17","0",""
"mvc-12815_Zn","Zn0 –1Bi6P2O15","intercalation","P 1","2.66","33","250","88","666","0.1","0",""
"mvc-13145_Zn","ZnCu(AsO4)2","intercalation","P 1","2.54","57","269","144","683","0.05","0",""
"mp-1043166_Zn","ZnNi(GeO3)2","intercalation","-C 2yc","2.75","147","754","403","2073","0.19","0",""
"mp-1046551_Zn","ZnNi5(TeO6)3","intercalation","C 2y","2.53","175","1041","442","2634","0.2","0",""
"mp-1047726_Mg","Mg0 –0.5MoO2","intercalation","I 4bw 2bw 1bw","2.32","191","999","443","2313","0.23","0",""
"mp-1079330_Mg","Mg0.5 –1VO3","intercalation","C 2y","2.57","217","612","559","1574","0.02","0",""
"mp-1045532_Mg","Mg0 –0.5VO2","intercalation","I 4bw 1bw","2.53","282","1129","714","2862","0.16","0",""
"mp-772131_Li","Li3 –4Fe3SbO8","intercalation","-C 2y","2.53","60","275","153","698","0.04","0.01",""
"mp-759678_Li","Li4 –8Ti15O32","intercalation","-R 3 2""","2.68","83","295","224","791","0.09","0.01",""
"mp-1176345_Li","LiNa5Fe2P2(CO7)2","intercalation","-P 1","2.85","49","144","141","412","0.01","0.01",""
"mp-1177344_Li","Li3 –4VFe3O8","intercalation","-R 3 2""","2.87","72","294","206","843","0.06","0.01",""
"mp-770894_Li","Li1 –2CrPO4F","intercalation","P 1","2.88","149","461","429","1327","0.05","0.01",""
"mp-32453_Li","Li0 –0.5VPO4","intercalation","-P 2ac 2n","2.46","90","301","220","739","0.02","0.01",""
"mp-761443_Li","Li0 –2V2Si4O11","intercalation","-P 1","2.4","133","405","318","971","0.09","0.01",""
"mp-767384_Li","Li0 –1Ba2Ti11O24","intercalation","P 1","2.41","22","96","54","230","0.03","0.01",""
"mp-1177898_Li","Li1 –2MnFeO4","intercalation","-I 2b 2","2.74","142","584","389","1597","0","0.01",""
"mp-1222709_Li","Li1 –1.5CuO2","intercalation","C 2y","2.89","126","477","365","1378","0.03","0.01",""
"mp-770041_Li","Li2 –3VCr2O6","intercalation","-C 2y","2.83","99","398","279","1126","0.05","0.01",""
"mp-769617_Li","Li1 –2VCrO4","intercalation","P 1","2.73","148","591","404","1612","0.06","0.01",""
"mp-775825_Li","Li1.33 –2VCrO4","intercalation","-P 1","2.79","99","395","275","1101","0.05","0.01",""
"mp-1177371_Li","Li2 –4V3CrO8","intercalation","-P 1","2.82","149","588","420","1661","0.08","0.01",""
"mp-769589_Li","Li1 –4V3CrO8","intercalation","P 1","2.82","223","882","628","2484","0.09","0.01",""
"mp-753921_Li","Li0 –3Sb11S18","intercalation","P 1","2.85","42","173","118","492","0.05","0.01",""
"mp-767137_Li","Li0 –3Sb17S27","intercalation","P 1","2.86","27","115","78","329","0.05","0.01",""
"mp-767964_Li","LiFe(SiO3)2","intercalation","C 2yc","2.9","121","342","350","990","0.03","0.01",""
"mp-764005_Li","Li1 –4TiV3O8","intercalation","-P 1","2.52","226","878","568","2210","0.1","0.01",""
"mp-762786_Li","Li1 –2FeSiO4","intercalation","-P 2ybc","2.8","166","504","463","1411","0.02","0.01",""
"mp-1177678_Li","Li1 –2FeSiO4","intercalation","C 2c 2","2.83","166","493","468","1395","0.03","0.01",""
