"Battid","Reduced Cell Formula","Type","Spacegroup","Average Voltage","Capacity Grav","Capacity Vol","Specific E Wh/kg","E Density Wh/l","Stability Charge","Stability Discharge",""
"mp-776064_Li","Li1 –2VPO4F","intercalation","P 1","2.55","150","455","382","1160","0.04","0.01",""
"mp-570512_Li","Li0 –1WCl6","intercalation","-R 3","2.64","66","206","175","543","0","0.01",""
"mp-18713_Li","LiBa2(CuO2)3","intercalation","-F 2 2","2.88","47","259","136","746","0.06","0.01",""
"mvc-11983_Al","Al1.33 –2FeO4","intercalation","P 1","2.75","308","1268","849","3492","0.15","0.01",""
"mvc-12100_Zn","Zn0 –1CoP2O7","intercalation","-P 2ybc","2.61","180","712","469","1858","0.12","0.01",""
"mp-1048278_Zn","Zn0 –1NiP2O7","intercalation","-P 2ybc","2.9","180","723","521","2094","0.13","0.01",""
"mvc-15098_Zn","ZnSrNi(PO4)2","intercalation","-P 1","2.7","133","560","360","1510","0.12","0.01",""
"mp-1043685_Mg","MgTi2(PO4)3","intercalation","-R 3 2""c","2.59","132","397","343","1029","0.01","0.01",""
"mp-1040943_Mg","Mg0 –0.5VO2","intercalation","P 1","2.5","282","1131","704","2823","0.16","0.01",""
"mp-1048245_Mg","Mg0 –1VP2O7","intercalation","-P 2ybc","2.73","215","694","588","1897","0.1","0.01",""
"mp-763566_Li","Li0 –1P2WO7","intercalation","P 2yb","2.44","73","306","179","746","0","0.02",""
"mp-763520_Li","Li0 –1PWO5","intercalation","P 1","2.62","89","460","233","1207","0","0.02",""
"mp-26649_Li","Li0 –2SnP2O7","intercalation","-P 1","2.68","175","568","469","1522","0","0.02",""
"mp-1177487_Li","Li4 –5.88CoO4","intercalation","P 2yc","2.47","307","814","758","2011","0.05","0.02",""
"mp-32686_Li","Li0 –2CoO2","intercalation","-P 3 2""","2.75","511","2017","1409","5556","0.02","0.02",""
"mp-769472_Li","Li5 –6NiO4","intercalation","A 2 2ac","2.65","163","439","433","1167","0.03","0.02",""
"mp-540179_Li","LiCr3(P2O7)2","intercalation","-P 2ybc","2.79","104","325","289","907","0.03","0.02",""
"mp-504358_Li","Li0 –1Cr6P7O24","intercalation","-P 2yb","2.75","29","95","80","261","0.02","0.02",""
"mp-764853_Li","LiCr(PO3)3","intercalation","P 2ac 2ab","2.82","91","267","255","752","0.04","0.02",""
"mp-761392_Li","Li0 –1CrPO4","intercalation","-P 2ac 2n","2.46","174","581","428","1428","0","0.02",""
"mp-762682_Li","Li4 –5V2Fe5O12","intercalation","P 2yb","2.81","44","194","124","544","0.05","0.02",""
"mp-559931_Li","Li0 –1VF3","intercalation","-R 3 2""c","2.37","233","761","552","1801","0","0.02",""
"mp-1101503_Li","LiV(PO3)4","intercalation","P 2yb","2.84","70","197","200","560","0.04","0.02",""
"mp-763401_Li","LiV(PO3)3","intercalation","P 2ac 2ab","2.77","91","267","252","741","0.03","0.02",""
"mp-25631_Li","Li0 –2VP2O7","intercalation","P 2yb","2.9","224","611","651","1771","0","0.02",""
"mp-762894_Li","Li2 –4CrO4","intercalation","-P 1","2.6","373","964","970","2509","0.05","0.02",""
"mp-1101544_Li","LiCr5(PO4)4","intercalation","-P 1","2.32","82","264","191","614","0","0.02",""
"mp-771655_Li","Li1 –3V2CrO6","intercalation","-C 2y","2.83","198","786","559","2220","0.1","0.02",""
"mp-756435_Li","Li0 –2Sr3Nb4O13","intercalation","-I 4 2","2.35","63","312","147","733","0.1","0.02",""
"mp-762819_Li","LiFe3(SnO5)2","intercalation","-P 1","2.59","89","437","231","1129","0.07","0.02",""
"mp-762689_Li","Li4 –5Ti2Fe5O12","intercalation","P 2yb","2.59","45","191","115","496","0.04","0.02",""
"mp-763629_Li","Li1 –2FeSiO4","intercalation","P 1","2.74","166","509","454","1395","0.02","0.02",""
"mp-1177679_Li","Li1 –2FeSiO4","intercalation","P 2c 2n","2.68","166","499","444","1336","0.02","0.02",""
"mp-763635_Li","Li1 –2FeSiO4","intercalation","P 2c 2n","2.76","166","508","457","1400","0.03","0.02",""
"mp-1206403_Li","Li0 –1Rb2VCl6","intercalation","-F 4 2 3","2.61","61","176","159","461","0","0.02",""
"mp-699599_Li","LiCa9Co(PO4)7","intercalation","R 3 2""c","2.75","25","76","68","209","0","0.02",""
"mp-1111835_Li","Li0 –1Cs2SbBr6","intercalation","-I 4 2","2.74","31","125","84","342","0","0.02",""
"mp-778433_Li","LiCr2(PS4)3","intercalation","-P 2ybc","2.6","133","293","346","762","0.01","0.02",""
"mvc-12204_Zn","Zn0 –0.5FeO2","intercalation","P 1","2.56","222","1129","570","2893","0.24","0.02",""
"mp-1045862_Zn","Zn0 –1Ba2Cr2CuF14","intercalation","P 1","2.5","69","321","173","801","0","0.02",""
"mp-1003856_Mg","Mg0 –1MnO2","intercalation","F 4d 2 3 1d","2.35","482","2101","1131","4933","0.03","0.02",""
"mvc-10462_Mg","Mg0 –0.5CuMoO4","intercalation","-P 2ybc","2.56","114","500","292","1282","0.07","0.02",""
"mp-1046410_Mg","MgSrV(PO4)2","intercalation","-P 1","2.42","152","541","367","1309","0.08","0.02",""
"mp-26407_Li","Li0 –2SnP2O7","intercalation","-P 2ybc","2.66","175","569","464","1512","0","0.03",""
"mp-540431_Li","LiFe5(PO4)4","intercalation","-P 1","2.81","80","278","223","779","0.01","0.03",""
"mp-764768_Li","Li3.5 –4CoO3","intercalation","P 1","2.57","99","271","255","695","0.08","0.03",""
"mp-1177687_Li","Li1 –5Mn7O12","intercalation","C 2y","2.89","175","763","508","2208","0.07","0.03",""
"mp-765810_Li","Li0 –3Nb4VO12","intercalation","P 1","2.39","127","592","303","1417","0.08","0.03",""
"mp-1176543_Li","Li1 –2VFeO4","intercalation","P 1","2.78","145","585","404","1628","0.09","0.03",""
"mp-762757_Li","Li3 –5V2Fe3O10","intercalation","-P 1","2.53","115","474","292","1197","0.06","0.03",""
"mp-1177237_Li","LiV3(FeO6)2","intercalation","-P 2ybc","2.57","55","171","142","439","0.01","0.03",""
"mp-1177771_Li","Li1 –2VFeO4","intercalation","-I 2b 2","2.38","145","589","345","1401","0.03","0.03",""
"mp-1101243_Li","Li0 –2V3Si3O10","intercalation","-P 1","2.33","130","436","303","1013","0.1","0.03",""
"mp-1080020_Li","Li0 –0.92MoO2","intercalation","-C 2y","2.41","183","925","442","2232","0.23","0.03",""
"mp-756861_Li","Li0 –1La4Ti3O12","intercalation","-P 1","2.3","30","179","69","412","0.09","0.03",""
"mp-771116_Li","Li0 –3Mn4CrO8","intercalation","-C 2y","2.84","191","832","543","2361","0.05","0.03",""
"mp-769572_Li","Li1 –2AlVO4","intercalation","P 1","2.82","172","622","486","1756","0.09","0.03",""
"mp-769439_Li","Li0.75 –0.83MnBO3","intercalation","P 1","2.86","19","59","53","168","0.03","0.03",""
"mp-769962_Li","Li3 –4TiFe3O8","intercalation","-R 3 2""","2.5","72","293","181","733","0.05","0.03",""
"mp-762709_Li","Li1 –2TiFe2O5","intercalation","P 1","2.56","106","461","271","1183","0.07","0.03",""
"mp-764340_Li","Li1 –2FeSiO4","intercalation","P 2c 2n","2.8","166","495","463","1382","0.05","0.03",""
"mp-770898_Li","Li0 –4Ti3Nb2V3O16","intercalation","P 1","2.48","140","575","348","1429","0.1","0.03",""
"mp-1110708_Li","Li0 –1Rb2SbBr6","intercalation","C 2y","2.72","34","129","94","350","0","0.03",""
"mp-557500_Li","LiNi(PS3)2","intercalation","C 2y","2.48","164","408","407","1012","0.1","0.03",""
"mp-1041598_Al","AlFe(WO4)2","intercalation","-P 2yc","2.46","139","1023","342","2516","0.15","0.03",""
"mp-1041693_Al","AlCr(WO4)2","intercalation","-P 2yc","2.41","140","1028","337","2475","0.15","0.03",""
"mp-773884_Zn","Zn0 –0.5Bi19O30","intercalation","P 3","2.36","6","53","14","125","0.05","0.03",""
"mp-1041392_Zn","Zn0 –0.5VCuO4","intercalation","-P 2ybc","2.33","127","549","295","1276","0.13","0.03",""
"mvc-13125_Zn","Zn0 –1Si2NiO6","intercalation","-C 2yc","2.65","194","800","515","2124","0.22","0.03",""
"mvc-11996_Zn","Zn1.5 –2BiPO6","intercalation","P 2y","2.67","57","346","153","926","0.13","0.03",""
"mvc-10959_Zn","Zn0 –1VBiO5","intercalation","-P 2ac 2ab","2.82","132","749","373","2111","0.33","0.03",""
"mp-1041314_Zn","Zn0 –1BaBiF7","intercalation","-P 2ybc","2.9","98","578","285","1675","0","0.03",""
"mp-1044267_Mg","MgTiV(PO4)3","intercalation","R 3 2""c","2.66","131","398","350","1059","0.01","0.03",""
"mp-1002568_Mg","Mg0 –1MnO2","intercalation","-R 3 2""","2.32","482","2106","1117","4883","0.01","0.03",""
"mp-19003_Mg","Mg0 –1V2O5","intercalation","-C 2c 2","2.56","260","836","666","2142","0.01","0.03",""
"mp-1040910_Mg","Mg0 –0.5VO2","intercalation","P 1","2.45","282","1130","690","2767","0.16","0.03",""
"mp-1045817_Mg","Mg0 –1Ba2CuMo2F14","intercalation","P 1","2.76","65","306","180","844","0","0.03",""
"mp-504791_Li","LiP(WO4)2","intercalation","P 2ac 2ab","2.33","50","269","117","626","0","0.04",""
"mp-26702_Li","LiSn2(PO4)3","intercalation","-P 2ybc","2.36","99","332","233","783","0","0.04",""
"mp-763372_Li","LiP3(WO6)2","intercalation","-R 3","2.44","119","524","292","1280","0","0.04",""
"mp-762265_Li","Li0.2 –1VO2","intercalation","P 1","2.57","239","937","612","2403","0.08","0.04",""
"mp-770163_Li","LiCr2(SO4)3","intercalation","-P 2ybc","2.85","132","355","377","1013","0","0.04",""
"mp-774050_Li","Li0 –1V4OF11","intercalation","-P 1","2.84","62","202","175","574","0","0.04",""
"mp-31780_Li","LiFe4(PO4)3","intercalation","C 2yc","2.65","52","191","138","505","0.01","0.04",""
"mp-762666_Li","Li0 –1Fe5P3O13","intercalation","-P 1","2.77","46","168","127","466","0.04","0.04",""
"mp-1101518_Li","LiSn(PO3)3","intercalation","P 3 2","2.8","74","234","207","655","0.01","0.04",""
"mp-25907_Li","LiSn(PO3)4","intercalation","-P 2n 2ab","2.77","61","162","168","449","0","0.04",""
"mp-764086_Li","Li0 –1V4OF11","intercalation","P 1","2.82","62","203","173","571","0","0.04",""
"mp-1176572_Li","Li0 –1V4OF11","intercalation","P 1","2.79","62","206","172","576","0","0.04",""
"mp-764187_Li","Li0 –1V4OF11","intercalation","P 1","2.8","62","201","172","564","0","0.04",""
"mp-1176561_Li","Li0 –1V4OF11","intercalation","P 1","2.84","62","206","175","584","0","0.04",""
"mp-1177353_Li","Li4 –6Mn5SbO12","intercalation","-C 2y","2.61","85","340","222","889","0.06","0.04",""
"mp-765971_Li","LiMn5(CoO6)2","intercalation","C 2y","2.85","87","394","247","1122","0.07","0.04",""
"mp-771876_Li","Li4.5 –5.88NiO4","intercalation","P 2c 2ac","2.79","225","603","629","1684","0.07","0.04",""
"mp-762286_Li","Li0.8 –1.6NiO2","intercalation","P 1","2.74","211","864","577","2370","0.05","0.04",""
"mp-761290_Li","Li0 –3Mn5O8","intercalation","-R 3 2""","2.86","190","835","542","2384","0.08","0.04",""
"mp-762407_Li","Li0.8 –1.2MnO2","intercalation","P 1","2.3","113","405","259","933","0.07","0.04",""
"mp-762569_Li","Li2 –5Ti2Mn5O12","intercalation","P 2yb","2.81","135","554","378","1555","0.09","0.04",""
"mp-1110855_Li","Li0 –1K2MoCl6","intercalation","-F 4 2 3","2.37","68","174","161","413","0","0.04",""
"mp-763262_Li","Li2 –4VGa3O8","intercalation","P 1","2.86","129","488","368","1393","0.07","0.04",""
"mp-765007_Li","Li0 –1VF3","intercalation","-P 2ac 2n","2.32","233","776","542","1803","0.01","0.04",""
"mp-763955_Li","Li3 –4MnV3O8","intercalation","-R 3 2""","2.59","74","292","191","756","0.09","0.04",""
"mp-773995_Li","LiV5(FeO6)2","intercalation","P 2yb","2.41","45","193","109","464","0.05","0.04",""
"mp-1177706_Li","Li3 –4Fe3WO8","intercalation","-P 1","2.57","53","275","136","706","0.07","0.04",""
"mp-31722_Li","LiCr(PO4)2","intercalation","P 2yb","2.75","99","255","273","701","0.07","0.04",""
"mp-1177617_Li","Li0.75 –1MnO2","intercalation","P 1","2.81","71","299","201","841","0.06","0.04",""
"mp-1178044_Li","Li2 –5Cr3NiO8","intercalation","P 2yb","2.81","213","875","598","2456","0.05","0.04",""
"mp-771618_Li","Li3 –5V3Cr2O10","intercalation","-P 1","2.72","119","473","323","1288","0.09","0.04",""
"mp-763729_Li","Li3 –4NbFe3O8","intercalation","-P 1","2.75","64","279","177","768","0.08","0.04",""
"mp-1177243_Li","Li3 –4TiFe3O8","intercalation","P 1","2.84","72","236","205","671","0.08","0.04",""
"mp-762695_Li","Li1.33 –2TiFeO4","intercalation","-P 1","2.58","98","383","254","990","0.08","0.04",""
"mp-771549_Li","Li0 –2Ti3VO8","intercalation","C 2yc","2.71","159","592","432","1604","0.11","0.04",""
"mp-1178316_Li","LiCu(HO2)2","intercalation","P 2ac 2","2.8","82","200","229","561","0.07","0.04",""
"mp-754751_Li","Li3 –4Nb3TeO12","intercalation","P 1","2.71","43","199","116","538","0.03","0.04",""
"mp-552787_Li","Li0 –0.5FeClO","intercalation","P 2 2ab 1ab","2.44","121","396","295","968","0","0.04",""
"mp-1046824_Al","Al0 –1Sr2YCo2O7","intercalation","I 2 2a","2.64","154","760","407","2005","0.17","0.04",""
"mvc-15135_Zn","Zn0 –0.5FeO2","intercalation","C 2y","2.53","222","1128","562","2854","0.25","0.04",""
"mp-1041483_Zn","ZnCo3(AsO4)4","intercalation","-P 2ybc","2.42","173","800","420","1940","0.2","0.04",""
"mp-1047900_Mg","Mg0 –1BaWF7","intercalation","-P 2ybc","2.53","112","613","283","1548","0","0.04",""
"mp-1222048_Mg","MgFe(CO3)2","intercalation","-R 3","2.88","268","903","771","2601","0.06","0.04",""
"mp-763461_Li","LiP3(WO6)2","intercalation","-P 2ybc","2.4","119","545","287","1308","0","0.05",""
"mp-763357_Li","Li1 –3P2WO8","intercalation","-C 2y","2.75","136","596","374","1641","0.05","0.05",""
"mvc-11624_Li","Li0 –1.25VO2","intercalation","I 4bw 1bw","2.38","366","1414","869","3360","0.16","0.05",""
"mp-762381_Li","Li0.36 –0.73VO2","intercalation","P 1","2.79","111","426","309","1192","0.09","0.05",""
"mp-1176557_Li","Li0 –1V4OF11","intercalation","-P 1","2.68","62","207","165","555","0","0.05",""
"mp-1176573_Li","Li0 –1V4OF11","intercalation","P 1","2.71","62","204","167","553","0","0.05",""
"mp-770191_Li","LiV2(SO4)3","intercalation","-P 2ybc","2.69","133","362","357","974","0","0.05",""
"mp-762393_Li","LiCr(Si2O5)2","intercalation","P 1","2.54","79","209","202","533","0.09","0.05",""
"mp-771583_Li","Li0 –1.25MnO2","intercalation","P 1","2.79","350","1351","979","3773","0.03","0.05",""
"mp-762560_Li","Li3 –5Mn2V5O12","intercalation","C 2y","2.52","91","377","228","949","0.12","0.05",""
"mp-1177853_Li","Li1 –2V2F7","intercalation","P 2yc","2.69","108","310","290","835","0.06","0.05",""
"mp-765435_Li","LiCrFe3(PO4)6","intercalation","P 1","2.7","32","92","86","249","0.04","0.05",""
"mp-753239_Li","Li0 –1SnPHO5","intercalation","-P 1","2.36","113","405","266","956","0","0.05",""
"mp-762516_Li","Li3 –5.5Mn3O8","intercalation","P 4acd 2ab 3","2.88","202","755","583","2174","0.03","0.05",""
"mp-1062652_Li","Li0 –2FeO2","intercalation","-C 2y","2.79","527","1921","1469","5355","0.23","0.05",""
"mp-762879_Li","Li2 –3MnV2O6","intercalation","-P 1","2.67","98","388","261","1034","0.1","0.05",""
"mp-764311_Li","Li2 –5Cr3NiO8","intercalation","P 6c 2c","2.83","213","878","604","2488","0.07","0.05",""
"mp-1013762_Li","Li0 –1Ti2P2O9","intercalation","-P 2ac 2n","2.63","87","258","229","680","0.06","0.05",""
"mp-1177113_Li","LiMg11(WO4)12","intercalation","P 2y","2.69","25","133","66","358","0.07","0.05",""
"mp-1177851_Li","Li2 –4TiCr3O8","intercalation","-C 2y","2.59","149","602","385","1555","0.08","0.05",""
"mp-776857_Li","Li0 –4Ti3Nb2Cr3O16","intercalation","P 1","2.61","139","588","363","1531","0.11","0.05",""
"mvc-10947_Al","Al0 –0.5FeO2","intercalation","I 4bw 2bw 1bw","2.77","397","1812","1098","5016","0.21","0.05",""
"mvc-14843_Al","Al0.33 –1BiO3","intercalation","C 2yc","2.83","189","1566","535","4436","0.09","0.05",""
"mp-1041154_Zn","Zn0 –0.5NiO2","intercalation","P 1","2.35","217","1224","509","2870","0.21","0.05",""
"mp-1043054_Zn","Zn0 –1TiNiP2O9","intercalation","P 1","2.42","142","538","343","1301","0.12","0.05",""
"mvc-13330_Mg","Mg0 –1V3O7","intercalation","-P 2ac 2n","2.62","185","638","485","1668","0.07","0.05",""
"mp-1048900_Mg","Mg0 –0.5VO2","intercalation","R 3 2""","2.51","282","1134","707","2844","0.21","0.05",""
"mp-1043946_Mg","MgFe3(P2O7)2","intercalation","-P 2ybc","2.34","99","356","233","836","0.04","0.05",""
"mp-25502_Mg","MgCr(SiO3)2","intercalation","-C 2yc","2.36","235","753","554","1779","0.11","0.05",""
"mp-1041461_Mg","Mg0 –1V3P3O13","intercalation","-P 2yb","2.42","112","364","272","883","0.03","0.05",""
"mp-1040902_Mg","Mg0 –0.5CrPO4","intercalation","-C 2yc","2.73","168","557","460","1519","0.19","0.05",""
"mp-1176795_Li","Li2 –3FePO5","intercalation","P 2yc","2.74","143","407","392","1117","0.07","0.06",""
"mp-1223171_Li","Li1 –4.75V3O8","intercalation","-P 2yb","2.74","320","1146","878","3139","0","0.06",""
"mp-780915_Li","Li0 –1V4OF11","intercalation","P 2y","2.68","62","203","165","542","0.01","0.06",""
"mp-779347_Li","Li0 –1V4OF11","intercalation","-P 1","2.51","62","204","154","511","0","0.06",""
"mp-1177024_Li","Li1.2 –1.6CoO2","intercalation","P 1","2.34","105","347","246","812","0.11","0.06",""
"mp-778564_Li","LiFe7(OF3)3","intercalation","P 1","2.81","43","183","122","515","0.08","0.06",""
"mp-765278_Li","Li2 –5Cr3FeO8","intercalation","P 1","2.46","215","853","527","2096","0.04","0.06",""
"mp-761399_Li","Li0.5 –1CrPO4","intercalation","P 2yc","2.69","87","245","235","659","0.08","0.06",""
"mp-761576_Li","LiMnV2(PO4)3","intercalation","-R 3 2""c","2.39","118","371","282","889","0","0.06",""
"mp-773679_Li","Li0 –0.67VPO4","intercalation","-R 3 2""c","2.39","119","375","283","896","0.07","0.06",""
"mp-762664_Li","Li0 –6V3P6WO24","intercalation","R 3","2.84","170","557","482","1584","0","0.06",""
"mp-1101233_Li","LiV2Cr(PO4)3","intercalation","-R 3 2""c","2.59","118","371","307","962","0.08","0.06",""
"mp-25751_Li","Li0.75 –3.25K2FeO4","intercalation","P 1","2.58","304","817","785","2112","0.04","0.06",""
"mp-765619_Li","Li4 –6NbFe5O12","intercalation","-C 2y","2.52","88","371","223","934","0.09","0.06",""
"mp-771573_Li","LiV2Sn(PO4)3","intercalation","-R 3 2""c","2.56","103","339","264","868","0.05","0.06",""
"mp-853162_Li","Li0 –2MnV4NiO12","intercalation","C 2y","2.56","102","345","263","885","0","0.06",""
"mp-775753_Li","LiMnSn(PO4)2","intercalation","-P 2yb","2.61","142","512","370","1335","0.03","0.06",""
"mp-762613_Li","Li1 –2Fe2Si2O7","intercalation","-P 2ybc","2.6","91","287","238","748","0.05","0.06",""
"mp-762716_Li","LiFe3(SiO4)2","intercalation","P 1","2.87","147","470","420","1347","0.09","0.06",""
"mp-673156_Li","Li1 –2NbP4O13","intercalation","P 1","2.48","61","164","151","405","0.01","0.06",""
"mp-26721_Li","LiNb(PO4)2","intercalation","P 2yb","2.59","90","274","234","709","0.08","0.06",""
"mp-755757_Li","LiSn(BO3)2","intercalation","-P 1","2.32","104","327","241","757","0.1","0.06",""
"mp-1172969_Li","Li1.5 –2FePO4F","intercalation","-P 1","2.62","73","228","191","596","0.02","0.06",""
"mp-1176412_Li","Li0 –2MnV4FeO12","intercalation","C 2y","2.49","103","337","257","839","0.02","0.06",""
"mp-565935_Li","Li0 –2Na2V3P2O13","intercalation","-P 2ab 2ac","2.66","111","318","296","845","0","0.06",""
"mp-763834_Li","Li0 –1K2MnPO4CO3","intercalation","-P 2yb","2.62","91","234","238","613","0","0.06",""
"mp-761289_Li","LiCrSn(PO4)2","intercalation","-P 2yb","2.56","143","513","367","1314","0.04","0.06",""
"mp-1177907_Li","Li0 –2MnV4CoO12","intercalation","C 2y","2.55","102","344","261","877","0","0.06",""
"mp-754249_Li","LiZrNb(TeO6)2","intercalation","P 1","2.71","41","199","110","540","0.03","0.06",""
"mp-768678_Li","LiSn2(SO4)3","intercalation","-P 2ybc","2.54","50","164","128","417","0.01","0.06",""
"mp-1041474_Al","Al0 –1Sr2YMn2O7","intercalation","I 2 2a","2.45","157","713","384","1748","0.24","0.06",""
"mp-1041472_Al","AlMn(WO4)2","intercalation","-P 2yc","2.35","139","995","328","2343","0.15","0.06",""
"mp-1042832_Zn","Zn0 –2Cr3O8","intercalation","P 6c 2c","2.68","258","1249","691","3342","0.37","0.06",""
"mvc-12125_Zn","Zn0 –0.5FeO2","intercalation","R 3 2""","2.54","222","1137","566","2892","0.28","0.06",""
"mp-1043346_Zn","Zn0 –1NiSnP2O9","intercalation","-P 1","2.51","119","496","300","1245","0.14","0.06",""
"mvc-14940_Zn","ZnTi(BiO3)2","intercalation","P 4 2","2.69","85","634","230","1706","0.3","0.06",""
"mvc-14949_Zn","ZnTi(BiO3)2","intercalation","I 4 2","2.69","85","641","230","1725","0.3","0.06",""
"mp-1043595_Zn","Zn0 –1MnNiP2O9","intercalation","P 1","2.38","139","555","331","1321","0.12","0.06",""
"mp-1041108_Mg","Mg0 –1HoV2O6","intercalation","P 2yc","2.3","138","822","319","1893","0.16","0.06",""
"mp-1043529_Mg","MgMn3(P2O7)2","intercalation","-P 2ybc","2.71","100","343","270","929","0.02","0.06",""
"mp-1043146_Mg","Mg0 –1NiMoP2O9","intercalation","-P 1","2.64","139","511","367","1347","0.04","0.06",""
"mp-1222710_Li","Li0 –0.2VO2","intercalation","P 1","2.34","64","251","149","588","0.05","0.07",""
