"Battid","Reduced Cell Formula","Type","Spacegroup","Average Voltage","Capacity Grav","Capacity Vol","Specific E Wh/kg","E Density Wh/l","Stability Charge","Stability Discharge",""
"mp-763403_Li","Li0 –1P4WO13","intercalation","P 2ac 2ab","5.21","51","175","267","910","0.05","0",""
"mp-1177017_Li","Li3 –9Fe3P8O29","intercalation","P 1","5.12","171","461","875","2360","0.1","0",""
"mp-1101512_Li","Li0 –1FeP2O7","intercalation","-P 2ybc","5.05","113","332","572","1675","0.05","0",""
"mp-1101516_Li","Li0 –1FeP2O7","intercalation","-C 2yc","5.19","113","361","587","1872","0.07","0",""
"mp-1101531_Li","Li6 –9Co3P8O29","intercalation","P 1","5.07","85","232","428","1178","0.05","0",""
"mp-31573_Li","LiCo(PO3)4","intercalation","-P 2n 2ab","6.19","70","179","434","1110","0.06","0",""
"mp-31539_Li","LiCo(PO4)2","intercalation","P 1","4.6","194","522","891","2402","0.06","0",""
"mp-558431_Li","LiCu(PO3)3","intercalation","-P 1","5.58","87","253","487","1411","0.05","0",""
"mp-1101586_Li","LiCo(PO3)3","intercalation","-P 1","5.25","89","252","464","1323","0.07","0",""
"mp-1177976_Li","Li0 –2FeCo3O8","intercalation","P 1","4.63","143","652","663","3018","0.11","0",""
"mp-771112_Li","Li0 –2Mn3NiO8","intercalation","P 4acd 2ab 3","4.69","147","626","687","2935","0.07","0",""
"mp-1177935_Li","Li0 –2Mn3CoO8","intercalation","P 4acd 2ab 3","4.89","147","611","717","2987","0.17","0",""
"mp-762277_Li","Li1 –2FeP2HO8","intercalation","P 2yb","5.13","103","306","528","1571","0.06","0",""
"mp-1176663_Li","Li0.5 –2MnP2O7","intercalation","P 1","4.72","166","485","781","2288","0.1","0",""
"mp-771093_Li","Li0 –3Cr10Fe5O24","intercalation","C 2y","4.78","67","293","319","1400","0.1","0",""
"mp-691115_Li","Li2 –4Mn5O12","intercalation","C 2yc","4.81","108","422","522","2032","0.08","0",""
"mp-18988_Li","Li1.62 –2MnO3","intercalation","P 1","4.62","86","319","398","1476","0.06","0",""
"mp-1101520_Li","Li0 –1CrP2O7","intercalation","-P 2ybc","4.69","115","337","540","1582","0.02","0",""
"mp-25614_Li","Li0 –1NiPO4","intercalation","-P 2ac 2n","4.94","167","626","824","3092","0.1","0",""
"mp-772224_Li","LiTi3MnCr(PO4)6","intercalation","R 3","4.81","32","98","156","472","0.01","0",""
"mp-699330_Li","Li0 –1Cr3O8","intercalation","-P 2 2n","4.72","92","308","435","1454","0.05","0",""
"mvc-14312_Li","Li0 –1VF5","intercalation","P 1","5.05","175","485","885","2450","0.04","0",""
"mp-540310_Li","LiMo(PO3)5","intercalation","-P 2ybc","4.81","106","281","511","1354","0.07","0",""
"mp-557959_Li","Li0 –1Cr3O8","intercalation","-C 2y","4.72","92","294","434","1388","0.05","0",""
"mp-1176610_Li","LiNi(PO3)3","intercalation","P 2ac 2ab","5.74","89","279","508","1601","0.05","0",""
"mp-1101495_Li","Li1 –2NiP2O7","intercalation","P 2yb","4.72","109","323","513","1526","0.04","0",""
"mp-776627_Li","Li2 –3FeF6","intercalation","C 2y","6.24","141","404","877","2518","0.01","0",""
"mp-768029_Li","LiFe(CO3)2","intercalation","-R 3","4.9","147","462","719","2263","0.06","0",""
"mp-759169_Li","Li2 –3CuF6","intercalation","-P 4n 2n","6.02","135","431","813","2594","0","0",""
"mp-1176639_Li","Li0 –1MnF4","intercalation","I 4bw 1bw","5.67","194","625","1102","3544","0","0",""
"mp-769544_Li","LiMgCr3Se2(SO6)4","intercalation","P 1","4.74","31","95","148","451","0","0",""
"mp-765883_Li","Li0 –1CrPHO5","intercalation","-P 1","4.66","157","499","731","2325","0.02","0",""
"mp-578763_Li","LiNi(SO4)2","intercalation","-P 2ac 2ab","5.8","203","612","1175","3554","0.15","0",""
"mp-770331_Li","LiNi2(SO4)3","intercalation","-P 2ybc","5.07","128","388","648","1966","0.02","0",""
"mp-764857_Li","LiNi2(SO4)3","intercalation","-P 2ac 2ab","5.21","128","404","665","2101","0.03","0",""
"mp-504354_Li","LiBi(PO3)4","intercalation","-C 2yc","5.64","50","188","284","1061","0.03","0",""
"mp-1176384_Li","LiNa3Fe5(SiO3)10","intercalation","P 1","4.88","48","161","233","786","0.05","0",""
"mp-19616_Li","LiNa2Fe(Si2O5)3","intercalation","-C 2bc 2","5.48","52","139","284","763","0.07","0",""
"mp-767564_Li","LiNa5Fe6(SiO3)12","intercalation","C 2y","4.72","20","67","92","315","0.02","0",""
"mp-775293_Li","LiNa9Fe10(SiO3)20","intercalation","P 1","4.67","12","40","55","187","0.01","0",""
"mp-3731_Li","Li0.85 –1NbO3","intercalation","P 1","4.97","27","120","135","597","0.04","0",""
"mp-25523_Li","LiFe(SiO3)2","intercalation","-C 2yc","4.98","125","410","620","2040","0.13","0",""
"mp-1101729_Li","LiNbFe7(PO4)12","intercalation","P 1","5.01","128","380","640","1903","0.08","0",""
"mp-1111927_Li","Li0 –1K2CrF6","intercalation","-F 4 2 3","5.45","107","333","582","1815","0","0",""
"mp-1176633_Li","Li1 –2NiPO4F","intercalation","P 2y","5.02","144","485","722","2436","0.08","0",""
"mp-767260_Li","LiMnNi3(PO4)4","intercalation","P 2y","4.63","168","618","776","2857","0.08","0",""
"mp-1178128_Li","Li0 –1La3MnO7","intercalation","P 1","4.62","45","294","210","1358","0.08","0",""
"mp-1176835_Li","Li0 –8Fe7P12WO48","intercalation","P 1","4.94","121","382","598","1887","0.06","0",""
"mp-18274_Li","Li0 –1Ba4Nb3O12","intercalation","P 6c 2c","4.62","26","153","121","707","0.05","0",""
"mp-1222532_Li","Li1.75 –2SnO3","intercalation","C 2y","4.66","37","179","173","833","0.05","0",""
"mp-1041572_Li","LiBi(WO4)2","intercalation","-P 2yc","4.84","38","281","182","1361","0.09","0",""
"mvc-11142_Mg","Mg0 –1CrF6","intercalation","-R 3","5.2","282","836","1464","4345","0","0",""
"mp-772325_Mg","MgCr(SO4)2","intercalation","R 3","5.15","71","200","365","1030","0.05","0",""
"mp-765763_Mg","MgCr(SO4)2","intercalation","R 3","5.03","71","199","356","998","0.05","0",""
"mp-1045786_Mg","MgNi(PO3)4","intercalation","-C 2yc","5.07","134","407","682","2065","0.1","0",""
"mp-1221119_Mg","MgNaCa3Fe(SiO3)8","intercalation","P 2y","4.89","183","591","893","2887","0.27","0",""
"mp-1221075_Mg","MgNaCaFe(SiO3)4","intercalation","C 2y","4.75","120","397","569","1885","0.16","0",""
"mp-762711_Li","LiFe(PO4)2","intercalation","-P 1","4.99","101","311","502","1551","0.08","0.01",""
"mp-763765_Li","Li0.67 –1FeBO3","intercalation","P 2y","7.37","73","242","541","1784","0.31","0.01",""
"mp-765763_Li","LiCr(SO4)2","intercalation","R 3","5.31","107","296","567","1572","0.05","0.01",""
"mp-540054_Li","LiFe(PO3)4","intercalation","-P 2ac 2n","4.67","139","394","649","1838","0.06","0.01",""
"mp-761592_Li","Li2 –3Fe2CoO6","intercalation","-P 1","5.37","93","410","501","2202","0.19","0.01",""
"mp-504207_Li","LiSb(PO3)4","intercalation","-C 2yc","5.08","60","183","306","929","0.05","0.01",""
"mp-1101526_Li","LiCo2(PO3)5","intercalation","P 2yc","4.79","52","155","247","741","0.03","0.01",""
"mp-1178442_Li","LiCo5(P2O7)4","intercalation","-P 1","4.79","156","519","746","2482","0.09","0.01",""
"mp-1178101_Li","LiSc9Fe(SiO3)20","intercalation","P 1","5.03","39","117","197","590","0.04","0.01",""
"mp-26157_Li","LiSb(PO3)4","intercalation","-P 2ybc","5.04","60","178","304","898","0.05","0.01",""
"mp-540135_Li","LiMn(PO3)4","intercalation","P 2ac 2ab","4.94","70","191","344","946","0.05","0.01",""
"mp-1101488_Li","Li0 –1Mn6PO12","intercalation","I 4bw 2aw 1bw","4.91","48","206","235","1012","0.07","0.01",""
