"Battid","Reduced Cell Formula","Type","Spacegroup","Average Voltage","Capacity Grav","Capacity Vol","Specific E Wh/kg","E Density Wh/l","Stability Charge","Stability Discharge",""
"mp-1176790_Li","LiFe(BO3)2","intercalation","-P 2ybc","4.39","138","391","606","1717","0.07","0",""
"mp-1176772_Li","Li0.75 –2FeP2O7","intercalation","P 1","4.09","137","413","562","1686","0.08","0",""
"mp-772468_Li","LiCr3(CoO6)2","intercalation","-P 2n 2ab","4.27","112","335","477","1431","0.01","0",""
"mp-26949_Li","LiSn2(PO3)5","intercalation","P 2yc","4.16","42","131","174","545","0.04","0",""
"mp-780857_Li","Li1 –2VOF4","intercalation","C 2c 2","4.48","171","463","765","2075","0.04","0",""
"mp-31585_Li","Li0 –1CoPO4","intercalation","-P 2ybc","4.24","167","506","706","2146","0.01","0",""
"mp-540500_Li","LiCo3(P2O7)2","intercalation","-P 2ybc","4.45","100","340","443","1514","0.02","0",""
"mp-765886_Li","Li0 –1CoSbO4","intercalation","-I 2b 2","4.04","107","537","431","2173","0.09","0",""
"mp-540489_Li","Li0 –1CoPO4","intercalation","P 2c 2n","4.2","167","510","700","2143","0.01","0",""
"mp-1177006_Li","Li4 –10Fe9CoO20","intercalation","-P 2y","4.29","169","713","725","3058","0.13","0",""
"mp-1178003_Li","Li0 –2MnCo3O8","intercalation","P 1","4.49","143","665","644","2987","0.06","0",""
"mp-761812_Li","Li0 –1CoPO4","intercalation","P 2c 2ac","4.19","167","513","698","2149","0.01","0",""
"mp-31594_Li","Li0 –1CoPO4","intercalation","P 2yc","4.21","167","508","701","2139","0.01","0",""
"mp-769961_Li","Li3 –4Ni3SbO8","intercalation","-P 1","4.1","59","294","242","1203","0.05","0",""
"mp-773961_Li","Li0 –8Mn15NiO32","intercalation","R 3 2""","4.03","148","606","596","2442","0.04","0",""
"mp-770625_Li","LiAl3Cr3(SbO8)2","intercalation","P 1","4.5","140","627","632","2822","0.12","0",""
"mp-771661_Li","LiCr(FeO3)2","intercalation","-P 1","4.34","96","393","415","1708","0.12","0",""
"mp-773312_Li","Li2 –3Cr2FeO6","intercalation","-P 1","4.31","97","399","417","1718","0.11","0",""
"mp-769450_Li","Li0 –9Mn15O32","intercalation","-C 2y","4.34","172","681","748","2954","0.1","0",""
"mp-768046_Li","Li0 –1VCoO4","intercalation","-I 2b 2","4.35","148","610","645","2653","0.11","0",""
"mp-1176615_Li","LiMnV(P2O7)2","intercalation","P 1","4.01","169","471","679","1889","0.02","0",""
"mp-1176535_Li","Li0 –1VF4","intercalation","-P 2ybc","4.27","200","517","855","2209","0","0",""
"mp-1176537_Li","Li1 –3VF6","intercalation","C 2yc","4.31","289","809","1244","3487","0.04","0",""
"mp-705007_Li","LiMo(PO3)4","intercalation","-P 2ybc","4.16","64","184","266","766","0.03","0",""
"mp-540083_Li","LiMo(PO4)2","intercalation","-P 2ybc","4.53","92","274","415","1242","0.01","0",""
"mp-1177753_Li","Li1 –2FeO3","intercalation","C 2y","4.12","228","830","938","3418","0.13","0",""
"mp-1176882_Li","Li3 –7Fe5O12","intercalation","P 1","4.35","206","801","896","3480","0.16","0",""
"mvc-11993_Li","Li0 –1FeO2","intercalation","I 4bw 2bw 1bw","4.22","283","1184","1193","4995","0.21","0",""
"mp-767739_Li","LiFeNi3(PO4)4","intercalation","P 2y","4.55","168","618","763","2815","0.08","0",""
"mp-769706_Li","LiFeNi(PO4)2","intercalation","-P 2yb","4.18","168","612","703","2554","0.06","0",""
"mp-1176823_Li","Li3 –9V3P8O29","intercalation","C 2yc","4.12","173","457","715","1885","0.04","0",""
"mp-761368_Li","Li0 –1.5Mn2FeO6","intercalation","-P 1","4.53","148","602","670","2729","0.11","0",""
"mp-777317_Li","Li0 –5Mn7Fe3O20","intercalation","P 1","4.44","148","596","656","2649","0.1","0",""
"mp-771261_Li","Li0 –2Mn3FeO8","intercalation","P 1","4.38","148","600","648","2628","0.09","0",""
"mp-771188_Li","Li0 –8Mn13Fe3O32","intercalation","-C 2y","4.23","148","598","626","2532","0.07","0",""
"mp-775538_Li","Li0 –3Mn5FeO12","intercalation","-C 2yc","4.21","148","602","622","2531","0.07","0",""
"mp-773946_Li","Li0 –2Mn3CrO8","intercalation","P 1","4.25","149","607","635","2580","0.07","0",""
"mp-1176542_Li","Li0 –8Mn13Cr3O32","intercalation","-C 2y","4.17","149","603","623","2518","0.06","0",""
"mp-25201_Li","LiBi(PdO2)2","intercalation","P 4ab 2ab 1ab","4.14","54","408","225","1690","0.16","0",""
"mp-614565_Li","Li0 –1CuO2","intercalation","-F 2 2","4.58","262","1139","1197","5212","0.29","0",""
"mp-762019_Li","LiV(CO3)2","intercalation","-R 3","4.04","151","458","609","1853","0.08","0",""
"mp-775563_Li","LiMn5(SeO3)8","intercalation","-P 1","4.16","101","374","421","1559","0.05","0",""
"mp-1176514_Li","Li0.5 –2VP2HO8","intercalation","P 1","4.08","157","455","641","1854","0.05","0",""
"mp-1177629_Li","Li1.5 –2MnSiO4","intercalation","P 1","4.38","83","256","364","1119","0.1","0",""
"mp-763876_Li","Li1.5 –2MnSiO4","intercalation","P 2yb","4.43","83","254","369","1125","0.1","0",""
"mp-763540_Li","LiNi(CO3)2","intercalation","P 2yb","4.33","139","380","603","1647","0.02","0",""
"mp-761673_Li","LiMn3Ni(PO4)4","intercalation","P 2y","4.06","170","587","690","2381","0.03","0",""
"mp-578869_Li","Li0 –1Na5Mn2O8","intercalation","-P 2ac 2n","4.01","74","209","299","838","0.02","0",""
"mp-770484_Li","LiMn2(SO4)3","intercalation","-P 2ybc","4.39","130","357","571","1565","0","0",""
"mp-770951_Li","LiMn3Ni3(TeO8)2","intercalation","C 2y","4.17","122","598","509","2494","0.07","0",""
"mp-699738_Li","LiCo3(SeO3)4","intercalation","-P 2ybc","4.29","77","324","329","1390","0.05","0",""
"mp-769585_Li","LiMn3Co3(TeO8)2","intercalation","P 1","4.03","122","583","491","2351","0.07","0",""
"mvc-12194_Al","Al3.33 –4Bi2O9","intercalation","-P 2 2ab","4.05","80","481","324","1949","0.18","0",""
"mvc-12745_Al","Al1.33 –2Rb2Sb2O7","intercalation","-C 2y","4.13","92","362","381","1495","0.36","0",""
"mvc-11923_Mg","Mg1 –2BiPO6","intercalation","-P 2yb","4.11","139","698","572","2865","0.23","0",""
"mvc-12806_Mg","Mg1.5 –2BiPO6","intercalation","P 2y","4.37","70","348","305","1524","0.16","0",""
"mp-1045783_Mg","MgMn(PO3)4","intercalation","-P 1","4.31","136","388","584","1672","0.06","0",""
"mp-1048259_Mg","Mg0 –1NiP2O7","intercalation","-P 2ybc","4.46","209","723","931","3227","0.13","0",""
"mvc-11924_Mg","Mg1.5 –2BiAsO6","intercalation","P 2y","4.49","63","326","281","1463","0.18","0",""
"mvc-14468_Mg","MgV3(FeO6)2","intercalation","-P 1","4.21","109","364","457","1530","0.11","0",""
"mp-1045773_Mg","MgCo(PO3)4","intercalation","-C 2yc","4.57","134","403","614","1840","0.07","0",""
"mvc-11632_Mg","Mg0 –1VBiO5","intercalation","-P 2ybc","4.2","147","762","617","3199","0.27","0",""
"mp-1046412_Mg","MgSrNi(PO4)2","intercalation","-P 1","4.16","149","564","619","2351","0.12","0",""
"mp-765267_Li","LiFe(BO3)2","intercalation","P 1","4.47","103","267","462","1192","0.07","0.01",""
"mp-765230_Li","Li0 –1VOF3","intercalation","P 2yb","4.4","205","590","900","2592","0.02","0.01",""
"mp-31815_Li","LiFe(PO4)2","intercalation","P 1","4.24","196","515","830","2183","0.09","0.01",""
"mp-540203_Li","Li0 –1Co2P3O10","intercalation","-P 1","4.17","71","198","296","824","0.01","0.01",""
"mp-1176783_Li","Li0 –1CoPO4","intercalation","P 2c 2ac","4.18","167","512","697","2139","0.01","0.01",""
"mp-31541_Li","Li0 –1CoPO4","intercalation","R 3","4.24","167","518","707","2200","0.02","0.01",""
"mp-771811_Li","Li0 –2Mn3CoO8","intercalation","-R 3 2""","4.08","147","628","598","2561","0.05","0.01",""
"mp-31591_Li","Li0 –1CoPO4","intercalation","P 2c 2n","4.29","167","506","715","2174","0.03","0.01",""
"mp-1176778_Li","Li0 –1CoPO4","intercalation","C 2yc","4.1","167","508","684","2086","0","0.01",""
"mp-31557_Li","Li0 –1Co6P7O24","intercalation","-P 2yb","4.22","28","102","118","431","0.01","0.01",""
"mp-31535_Li","Li0 –2CoP2O7","intercalation","P 2yb","4.57","217","633","993","2895","0.06","0.01",""
"mp-1177425_Li","LiFe3Co3(TeO8)2","intercalation","P 1","4.11","121","589","499","2419","0.05","0.01",""
"mp-1101535_Li","Li1 –2MnP2O7","intercalation","P 1","4.04","110","311","446","1257","0.04","0.01",""
"mp-656884_Li","Li0 –1Ni9O10","intercalation","-P 1","4.2","39","242","162","1015","0.05","0.01",""
"mp-767211_Li","Li0.5 –1MnPO4","intercalation","P 2yc","4.56","85","239","390","1089","0.07","0.01",""
"mp-585432_Li","Li0 –1MnPO4","intercalation","C 2yc","4.36","171","478","745","2085","0.1","0.01",""
"mp-540108_Li","Li0 –1MnPO4","intercalation","C 2yc","4.36","171","478","744","2083","0.1","0.01",""
"mp-540125_Li","Li0 –1MnPO4","intercalation","R 3","4.23","171","494","723","2089","0.08","0.01",""
"mp-771630_Li","LiCr3(FeO4)2","intercalation","R 3 2""","4.58","67","291","305","1334","0.09","0.01",""
"mp-763817_Li","Li6 –13Mn17O40","intercalation","C 2y","4.57","113","442","515","2018","0.08","0.01",""
"mp-18727_Li","LiCr(SiO3)2","intercalation","-C 2yc","4.48","127","418","569","1875","0.11","0.01",""
"mp-768036_Li","LiMn(CO3)2","intercalation","-R 3","4.27","147","448","629","1911","0.07","0.01",""
"mp-762802_Li","Li2 –4Fe3NiO8","intercalation","-P 1","4.03","140","598","566","2412","0.09","0.01",""
"mp-1197270_Li","Li0 –2CoSiO4","intercalation","P 2c 2n","4.11","325","1039","1336","4271","0.2","0.01",""
"mp-773251_Li","Li4 –5Co2Ni3O10","intercalation","-P 1","4.22","55","260","231","1094","0.05","0.01",""
"mp-761738_Li","Li0 –2Co3NiO8","intercalation","-R 3 2""","4.39","142","694","623","3046","0.07","0.01",""
"mp-766737_Li","Li0 –1VF4","intercalation","-P 2ybc","4.33","200","623","866","2693","0.02","0.01",""
"mp-765919_Li","Li0 –1VF4","intercalation","P 2yc","4.26","200","643","854","2743","0.01","0.01",""
"mp-1101189_Li","Li0 –2VF5","intercalation","P 1","4.57","335","985","1533","4502","0.06","0.01",""
"mp-1176824_Li","Li1 –3VF6","intercalation","P 2c 2n","4.22","289","828","1216","3492","0.02","0.01",""
"mp-1178090_Li","LiMn7V(PO4)12","intercalation","P 1","4.49","194","576","870","2584","0.06","0.01",""
"mp-32528_Li","LiV3(PO4)4","intercalation","P 2yb","4.39","145","422","637","1850","0.12","0.01",""
"mp-1013850_Li","Li0 –1V2P2O9","intercalation","-P 2ac 2n","4.12","85","259","351","1069","0.03","0.01",""
"mp-1013878_Li","Li0 –1V3P3O13","intercalation","-P 2yb","4.07","58","178","237","725","0.03","0.01",""
"mp-762924_Li","Li4 –5Ti2Ni3O10","intercalation","-P 1","4.18","57","246","240","1027","0.05","0.01",""
"mp-762423_Li","Li3 –7Fe5O12","intercalation","P 1","4.11","206","810","848","3332","0.13","0.01",""
"mp-770001_Li","Li0 –2Mn3CrO8","intercalation","-R 3 2""","4.18","149","605","625","2530","0.07","0.01",""
"mp-762617_Li","LiNi3(SnO5)2","intercalation","-P 1","4.02","44","230","177","923","0.05","0.01",""
"mp-767982_Li","Li1.5 –2MnSiO4","intercalation","P 1","4.28","83","252","356","1077","0.1","0.01",""
"mp-780287_Li","Li1.5 –2MnSiO4","intercalation","P 2yb","4.21","83","251","350","1055","0.1","0.01",""
"mp-769543_Li","Li1.5 –2MnSiO4","intercalation","P 2yb","4.14","83","247","345","1021","0.09","0.01",""
"mp-1177640_Li","Li1.5 –2MnSiO4","intercalation","C 2y","4.13","83","243","344","1002","0.1","0.01",""
"mp-774171_Li","Li1.5 –2MnSiO4","intercalation","P 2yc","4.18","83","247","348","1031","0.1","0.01",""
"mp-774356_Li","Li1.5 –2MnSiO4","intercalation","P 2yc","4.2","83","249","350","1048","0.1","0.01",""
"mp-769505_Li","Li0 –3.5Mn5Cr3O16","intercalation","P 1","4.55","132","537","600","2442","0.1","0.01",""
"mp-775013_Li","LiMn3Fe3(SbO8)2","intercalation","C 2y","4.04","125","581","503","2346","0.08","0.01",""
"mp-775200_Li","LiMnNi(PO4)2","intercalation","-P 2yb","4.27","169","603","721","2575","0.04","0.01",""
"mp-762832_Li","LiMn(SO4)2","intercalation","P 2yc","4.44","103","284","456","1260","0.01","0.01",""
"mp-770141_Li","LiMn2(SO4)3","intercalation","-R 3","4.29","66","185","284","793","0.01","0.01",""
"mp-771095_Li","LiMn3Cr3(SnO8)2","intercalation","P 1","4.11","127","596","523","2450","0.08","0.01",""
"mp-1105411_Li","LiCr(GeO3)2","intercalation","-C 2yc","4.57","89","381","408","1738","0.1","0.01",""
"mp-19445_Li","Li0 –1La4NiO8","intercalation","-C 2 2","4.24","36","242","152","1024","0.08","0.01",""
"mp-772283_Li","Li0 –2Cr3SbO8","intercalation","C 2yc","4.3","128","599","549","2577","0.1","0.01",""
"mp-770594_Li","Li0 –2Co3BiO8","intercalation","-R 3 2""","4.37","102","603","444","2633","0.09","0.01",""
"mp-770324_Li","LiNa5Ni2P2(CO7)2","intercalation","P 2y","4.06","49","148","198","600","0.01","0.01",""
"mp-767057_Li","Li0 –1SrLa3MnO8","intercalation","-C 2c 2","4.46","39","237","172","1057","0.08","0.01",""
"mvc-13128_Al","Al0.33 –1FeF5","intercalation","-C 2y","4.27","301","1031","1286","4399","0.17","0.01",""
"mvc-13155_Al","Al0.33 –1MnF5","intercalation","-P 2yb","4.29","303","1006","1300","4314","0.21","0.01",""
"mp-1048235_Mg","Mg0 –1CoP2O7","intercalation","-P 2ybc","4.17","208","713","870","2977","0.12","0.01",""
"mvc-13124_Mg","Mg1.5 –2VBiO6","intercalation","P 2y","4.47","66","319","296","1426","0.16","0.01",""
