"Battid","Reduced Cell Formula","Type","Spacegroup","Average Voltage","Capacity Grav","Capacity Vol","Specific E Wh/kg","E Density Wh/l","Stability Charge","Stability Discharge",""
"mp-1223278_Li","Li0 –1TiS2","intercalation","-P 3 2""","1.88","225","697","424","1311","0","0",""
"mp-1185486_Li","Li0 –1TiO2","intercalation","I 4bw 2bw 1bw","1.43","309","1256","442","1796","0.01","0",""
"mp-10033_Li","Li0 –1NbS2","intercalation","-P 6c 2c","2.18","163","693","356","1511","0","0",""
"mp-1185524_Li","Li5 –6MnO4","intercalation","A 2 2ac","1.99","167","418","333","832","0.04","0",""
"mp-19383_Li","LiTi4Mn(PO4)6","intercalation","-R 3","2.27","33","97","74","221","0","0",""
"mp-1018112_Li","Li0 –3YSb2","intercalation","C 2 2","1.44","228","1035","327","1489","0.56","0",""
"mp-1104651_Li","Li0 –1.75Mo3Se4","intercalation","-R 3","1.63","76","456","124","742","0.06","0",""
"mp-1025496_Li","Li0 –1NbSe2","intercalation","-P 6c 2c","1.78","104","603","185","1072","0","0",""
"mp-1045401_Li","Li0 –0.5MnS2","intercalation","F 4d 2 3 1d","1.9","109","371","208","705","0.01","0",""
"mp-1206595_Li","Li0 –1TiSe2","intercalation","-P 3 2""","1.57","126","590","197","925","0","0",""
"mp-1103834_Li","Li0 –2Mo3S4","intercalation","-R 3","1.77","125","596","221","1058","0.07","0",""
"mvc-11306_Al","Al4.33 –5CuS8","intercalation","C 2y","1.67","118","355","196","592","0.09","0",""
"mvc-14082_Al","Al0.33 –1CuS2","intercalation","I 4 2bw","1.48","347","1191","513","1763","0.28","0",""
"mvc-12090_Al","Al1.67 –2BiS4","intercalation","P 4 2c","2.12","69","250","145","530","0.18","0",""
"mp-1047462_Zn","Zn0 –0.5NiO2","intercalation","F 4d 2 3 1d","2.2","217","1244","478","2739","0.1","0",""
"mp-1047343_Zn","Zn0 –0.5MnO2","intercalation","F 4d 2 3 1d","1.6","224","1118","359","1791","0.03","0",""
"mp-1225007_Zn","Zn0 –1Fe5O8","intercalation","F 4 2 3","2.26","113","563","256","1270","0.15","0",""
"mvc-12056_Zn","ZnSr9(CuO7)2","intercalation","P 1","2.27","77","386","174","877","0.19","0",""
"mp-1047902_Zn","Zn0 –1BaMoF7","intercalation","-P 2ybc","1.57","124","606","195","953","0","0",""
"mvc-13332_Zn","Zn1 –2MnNb2O8","intercalation","C 2y","1.69","107","568","182","962","0.1","0",""
"mvc-12227_Zn","Zn0 –1Mn3Nb2O9","intercalation","P 3 2""c","1.46","96","491","140","719","0.1","0",""
"mvc-11265_Mg","Mg0 –0.5CrS2","intercalation","F 4d 2 3 1d","1.64","209","670","343","1101","0.02","0",""
"mp-1101258_Li","Li0 –0.33TiS2","intercalation","-P 3 2""","1.99","78","203","156","405","0.01","0.01",""
"mp-753131_Li","Li0.75 –1TiO2","intercalation","C 2y","1.69","77","308","130","520","0.05","0.01",""
"mp-773061_Li","Li0 –2Ba6Ti7Nb9O42","intercalation","C 2y","1.53","20","100","31","154","0","0.01",""
"mp-18835_Li","Li0 –1VPO4","intercalation","-C 2c 2","2.25","175","599","394","1348","0","0.01",""
"mp-759244_Li","Li12 –13Nb14ZnO42","intercalation","P 1","1.72","13","57","22","98","0.01","0.01",""
"mp-756684_Li","Li1 –2Sr2Nb3O10","intercalation","C 2y","2.15","43","205","92","441","0.04","0.01",""
"mp-763676_Li","Li4 –5Ti2V5O12","intercalation","P 2yb","1.85","46","193","86","357","0.03","0.01",""
"mp-762546_Li","Li1 –5Ti2V3O10","intercalation","P 1","2.27","242","945","550","2147","0.07","0.01",""
"mp-766983_Li","Li1 –1.75Ca2Nb3O10","intercalation","-P 1","1.98","38","160","75","317","0.03","0.01",""
"mp-758770_Li","Li2 –3Mg3Ti6O16","intercalation","P 2yb","1.54","42","146","65","226","0.01","0.01",""
"mp-759849_Li","Li2 –3Ti6Zn3O16","intercalation","P 2yb","1.66","35","146","58","243","0","0.01",""
"mp-1042105_Al","AlV(WO4)2","intercalation","-P 2yc","2.02","140","1015","284","2054","0.11","0.01",""
"mp-1048270_Zn","Zn0 –1FeP2O7","intercalation","-P 2ybc","2.11","182","695","383","1465","0.11","0.01",""
"mvc-12133_Zn","Zn1.5 –2VP2O9","intercalation","C 2y","2.12","69","236","147","501","0.07","0.01",""
"mvc-12911_Zn","ZnV2(PO4)3","intercalation","-P 1","2.01","166","627","334","1263","0.13","0.01",""
"mp-1044311_Zn","ZnTiCr(PO4)3","intercalation","R 3 2""c","2.26","119","400","269","903","0.04","0.01",""
"mvc-11109_Zn","Zn0 –2Mn2Nb2O9","intercalation","-P 6c 2","1.79","188","996","336","1783","0.22","0.01",""
"mp-1046509_Zn","ZnMn5(TeO6)3","intercalation","C 2y","1.7","178","957","301","1623","0.08","0.01",""
"mp-1043383_Zn","ZnMn(GeO3)2","intercalation","-C 2yc","1.76","148","695","261","1224","0.1","0.01",""
"mp-1176670_Li","LiV5(BO5)2","intercalation","-P 2 2ab","1.99","60","244","120","486","0.02","0.02",""
"mp-755266_Li","Li4 –5Ti3O8","intercalation","-C 2y","1.93","88","302","169","582","0.06","0.02",""
"mp-25417_Li","Li0 –1TiO2","intercalation","-R 3 2""","1.78","309","1206","551","2151","0.15","0.02",""
"mp-767720_Li","Li0 –2V4Si4O13","intercalation","-P 1","2.28","100","343","227","782","0.06","0.02",""
"mp-769519_Li","Li4.5 –6FeO4","intercalation","C 2y","2.23","249","633","556","1415","0.07","0.02",""
"mp-767146_Li","Li7 –9Ti12NbO30","intercalation","R 3","2.01","44","165","89","331","0.03","0.02",""
"mp-1177968_Li","Li1 –2FeSnO4","intercalation","-I 2b 2","1.98","106","527","210","1041","0","0.02",""
"mp-769573_Li","Li1 –2TiVO4","intercalation","P 1","1.87","152","582","283","1087","0.06","0.02",""
"mp-773072_Li","Li0 –1Ba8Nb7O24","intercalation","P 3 2""","1.94","13","76","24","148","0.03","0.02",""
"mp-1040497_Al","Al0 –0.5VO2","intercalation","I 4bw 1bw","1.68","417","1783","700","2996","0.16","0.02",""
"mp-1043501_Zn","ZnFe(GeO3)2","intercalation","-C 2yc","1.83","148","726","271","1329","0.11","0.02",""
"mvc-12018_Zn","Zn1 –2Ta2MnO8","intercalation","C 2y","1.72","79","570","136","977","0.08","0.02",""
"mp-1048332_Zn","Zn0 –1CrP2O7","intercalation","-P 2ybc","1.72","184","675","317","1164","0.11","0.02",""
"mp-1043196_Zn","ZnCo(GeO3)2","intercalation","-C 2yc","2.22","147","734","325","1626","0.16","0.02",""
"mp-1046379_Zn","ZnSrCo(PO4)2","intercalation","-P 1","2.25","133","550","300","1237","0.08","0.02",""
"mp-1142713_Zn","ZnMn(SiO3)2","intercalation","-C 2yc","1.62","197","742","319","1203","0.11","0.02",""
"mp-1046443_Zn","ZnSrFe(PO4)2","intercalation","-P 1","1.99","134","546","267","1086","0.1","0.02",""
"mp-1045404_Mg","Mg0 –0.5TiO2","intercalation","F 4d 2 3 1d","1.3","291","1142","380","1489","0.18","0.02",""
"mp-1040870_Mg","Mg0 –1Mo2P2O9","intercalation","-P 2ac 2n","2.01","127","496","255","997","0.03","0.02",""
"mp-38487_Li","Li7 –8BiO6","intercalation","P 1","1.85","74","299","137","552","0","0.03",""
"mp-1178148_Li","LiK(WO3)3","intercalation","P 1","1.94","36","223","70","434","0","0.03",""
"mp-690117_Li","LiK(WO3)6","intercalation","P 3 2","1.64","19","116","31","191","0","0.03",""
"mp-766543_Li","Li4 –7Ti11O24","intercalation","P 1","1.83","84","304","153","556","0.04","0.03",""
"mp-686110_Li","Li0.2 –0.25ReO3","intercalation","-P 1","2.13","6","42","12","90","0.03","0.03",""
"mp-1177528_Li","Li0 –1TiO2","intercalation","F 4d 2 3 1d","1.84","309","1206","568","2220","0.18","0.03",""
"mp-754937_Li","Li0 –0.33TiO2","intercalation","P 1","1.95","109","422","212","821","0.06","0.03",""
"mp-1176562_Li","Li0 –1VPO4","intercalation","-P 2ac 2n","2.13","175","591","374","1259","0","0.03",""
"mp-762634_Li","Li0.5 –1KMnO2","intercalation","-C 2yc","1.84","101","306","186","563","0.08","0.03",""
"mp-773047_Li","Li0 –0.67KNb2PO8","intercalation","R 3","1.99","46","159","92","317","0.02","0.03",""
"mp-1176571_Li","Li1 –3TiV2O6","intercalation","P 1","2.17","201","779","437","1692","0.07","0.03",""
"mp-763632_Li","Li0.67 –2TiVO4","intercalation","-P 1","2.12","202","779","428","1651","0.09","0.03",""
"mp-763509_Li","Li1 –2TiVO4","intercalation","-I 2b 2","1.39","152","585","210","811","0","0.03",""
"mp-7543_Li","Li0 –1VS2","intercalation","-P 3 2""","1.79","220","701","393","1253","0.02","0.03",""
"mp-1211002_Li","Li0 –1Ti3Zn2O8","intercalation","P 4acd 2ab 3","1.66","65","291","109","484","0","0.03",""
