"Battid","Reduced Cell Formula","Type","Spacegroup","Average Voltage","Capacity Grav","Capacity Vol","Specific E Wh/kg","E Density Wh/l","Stability Charge","Stability Discharge",""
"mp-1045788_Mg","MgCr(PO3)4","intercalation","-C 2yc","3.6","137","390","492","1405","0.07","0.01",""
"mp-762624_Li","LiMn(NiO3)2","intercalation","C 2y","3.6","93","416","333","1495","0.04","0.03",""
"mp-26585_Li","Li3 –5Sb2P5O18","intercalation","P 1","3.6","74","248","267","893","0.04","0.03",""
"mp-761356_Li","LiTi3Co3(TeO8)2","intercalation","C 2y","3.6","125","565","449","2032","0.09","0.04",""
"mp-25229_Li","Li0 –1CuO","intercalation","-I 4 2","3.59","310","1254","1112","4500","0.59","0",""
"mp-1176588_Li","Li0.67 –1NiO2","intercalation","C 2yc","3.59","92","424","329","1525","0.04","0.01",""
"mp-1176568_Li","Li0 –4Mn3NiO8","intercalation","-R 3 2""","3.59","283","1208","1015","4340","0.06","0.02",""
"mp-762005_Li","LiFe(CO3)2","intercalation","P 2yb","3.59","212","460","760","1650","0.08","0.02",""
"mp-1177621_Li","Li0 –3V12O29","intercalation","-C 2y","3.59","73","252","264","905","0.04","0.04",""
"mp-761783_Li","Li3 –5Co2Cu3O10","intercalation","-P 1","3.59","107","501","382","1798","0.07","0.06",""
"mp-772451_Li","Li0 –0.67MnPO4","intercalation","-R 3 2""c","3.59","116","371","415","1331","0.05","0.06",""
"mp-771997_Li","Li3 –4MnCu3O8","intercalation","-R 3 2""","3.59","67","308","240","1108","0.08","0.07",""
"mp-762803_Li","Li0 –3MnV4O12","intercalation","P 1","3.59","171","667","613","2397","0.07","0.07",""
"mp-1178075_Li","LiMn3(PO4)4","intercalation","P 2y","3.59","250","755","897","2710","0.07","0.09",""
"mp-766850_Li","Li0 –4Mn3V2Co3O16","intercalation","P 1","3.59","147","632","530","2272","0.06","0.09",""
"mp-771737_Li","Li0 –5Co7O12","intercalation","C 2y","3.59","210","1069","752","3836","0.14","0.1",""
"mp-763407_Li","Li0 –1P4WO12","intercalation","-P 2n 2ab","3.58","53","167","189","598","0.01","0",""
"mp-554954_Li","LiFe2(SO4)3","intercalation","-P 2ybc","3.58","130","368","464","1317","0","0",""
"mp-753557_Li","Li2 –3CuSbO5","intercalation","P 1","3.58","94","446","335","1597","0.06","0.02",""
"mp-705376_Li","LiFe5(P2O7)4","intercalation","-P 1","3.58","158","482","567","1726","0.05","0.03",""
"mp-762782_Li","Li0 –3VF5","intercalation","-P 2ybc","3.58","482","1260","1725","4509","0.03","0.07",""
"mp-1232134_Mg","MgV2(PO4)3","intercalation","-P 1","3.57","190","630","678","2248","0.13","0",""
"mp-762466_Li","Li0.67 –1CrO2","intercalation","C 2yc","3.57","98","398","350","1418","0.07","0.03",""
"mp-762918_Li","Li1 –3Cr2CoO6","intercalation","P 1","3.57","192","809","684","2886","0.1","0.04",""
"mp-1176541_Li","Li0.5 –1VCO4","intercalation","-P 2ybc","3.57","100","318","357","1133","0.1","0.04",""
"mp-1041166_Mg","Mg0 –0.5NiO2","intercalation","P 1","3.57","261","1231","930","4393","0.21","0.04",""
"mp-1101521_Li","Li1 –2FeP2O7","intercalation","P 1","3.57","110","295","393","1053","0.09","0.05",""
