"Battid","Reduced Cell Formula","Type","Spacegroup","Average Voltage","Capacity Grav","Capacity Vol","Specific E Wh/kg","E Density Wh/l","Stability Charge","Stability Discharge",""
"mp-1045535_Zn","Zn0 –0.5VO2","intercalation","I 4bw 1bw","1.29","232","1132","299","1462","0.16","0",""
"mp-771635_Li","Li1 –2NbVO4","intercalation","-I 2b 2","1.29","121","557","156","720","0.06","0.11",""
"mp-1045744_Al","AlMn4(CuO4)3","intercalation","-I 2 2 3","1.29","128","687","165","887","0.05","0.24",""
"mp-1046701_Zn","Zn0 –1VPO5","intercalation","-C 2yc","1.28","236","934","302","1196","0.05","0.02",""
"mp-1047075_Mg","Mg0 –0.5MoO2","intercalation","-P 2ac 2n","1.28","191","1069","244","1366","0.09","0.17",""
"mp-1041381_Zn","Zn0 –1Cr4O9","intercalation","P 2yc","1.28","128","513","164","654","0.21","0.27",""
"mp-764217_Li","Li4 –5VO4F","intercalation","P 2yb","1.27","159","388","202","493","0.06","0.05",""
"mp-1222595_Li","Li0 –0.75TiO2","intercalation","-P 2ac 2ab","1.27","236","950","299","1201","0.02","0.07",""
"mp-1045917_Mg","Mg0 –1P4WO12","intercalation","-C 2yc","1.27","102","361","130","458","0.03","0.17",""
"mvc-15502_Zn","Zn0 –2Cr2O5","intercalation","P 2c 2","1.27","341","1727","433","2198","0.28","0.42",""
"mvc-11653_Mg","Mg0 –0.5CrSe2","intercalation","C 2y","1.26","121","571","152","718","0.02","0",""
"mp-1047285_Zn","Zn0 –0.5FeO2","intercalation","P 2y","1.26","222","1294","279","1624","0.17","0.33",""
"mp-1041352_Zn","Zn0 –1CoO2","intercalation","-R 3 2""","1.25","343","2219","428","2769","0.01","0.1",""
"mp-1041135_Mg","MgHo(WO3)2","intercalation","P 1","1.25","82","723","103","906","0.12","0.17",""
"mp-1044622_Mg","Mg0 –0.5TiO2","intercalation","P 1","1.24","291","1143","361","1415","0.17","0.03",""
"mp-1044853_Mg","Mg0 –0.5TiO2","intercalation","P 3 2""","1.24","291","1147","361","1421","0.17","0.03",""
"mp-1197196_Li","Li0 –2Mo15Se19","intercalation","-R 3 2""c","1.24","18","111","23","138","0.07","0.07",""
"mp-566252_Li","Li0 –1Ba2VP2O9","intercalation","C 2y","1.24","50","197","62","244","0","0.09",""
"mp-1041454_Mg","MgBa(WO2)4","intercalation","-P 3 2","1.24","52","426","65","527","0.75","0.74",""
"mvc-11295_Al","Al4.33 –5CuSe8","intercalation","C 2y","1.23","65","297","79","365","0.1","0.02",""
"mp-773275_Li","Li3 –4Ti3CrO8","intercalation","-R 3 2""","1.23","76","300","93","368","0.08","0.11",""
"mvc-11754_Mg","Mg0 –1V2S5","intercalation","P 2 2ab 1ab","1.23","187","528","230","649","0.25","0.26",""
"mp-10189_Li","Li0 –1TiTe2","intercalation","-P 3 2""","1.22","86","468","105","569","0","0.02",""
"mp-1044648_Mg","Mg0 –0.5TiO2","intercalation","R 3 2""","1.22","291","1150","357","1408","0.18","0.04",""
"mp-764210_Li","Li6 –8VO5F","intercalation","P 1","1.22","261","590","318","720","0.07","0.05",""
"mp-1043063_Zn","ZnMn4(CuO4)3","intercalation","-I 2 2 3","1.22","80","447","98","544","0.05","0.09",""
"mp-1047020_Zn","Zn0 –1SbAsO5","intercalation","P 2ac 2ab","1.22","157","691","192","846","0.18","0.14",""
"mp-1008911_Li","Li0 –1MnAs","intercalation","F 4 2 3","1.22","196","818","239","998","0.44","0.15",""
"mvc-12088_Al","Al1 –2BiSe4","intercalation","P 2y","1.21","139","659","168","798","0.25","0",""
"mp-1048867_Zn","Zn0 –0.5VO2","intercalation","P 1","1.21","232","1123","281","1360","0.16","0.03",""
"mp-12564_Li","Li1 –2SbAu","intercalation","F 4 2 3","1.19","81","615","96","731","0.07","0",""
"mp-1041326_Zn","Zn0 –1BaSbF7","intercalation","-P 2ybc","1.19","117","576","139","685","0.02","0.06",""
"mp-21471_Li","Li0.95 –1FeAs","intercalation","P 1","1.18","10","51","12","60","0","0",""
"mp-1040837_Zn","Zn0 –0.5CrPO4","intercalation","-C 2yc","1.18","149","552","175","649","0.19","0.06",""
"mp-1043069_Zn","ZnCr4(CuO4)3","intercalation","-R 3","1.18","82","448","96","527","0.03","0.09",""
"mp-1044492_Zn","ZnPr(SnO3)2","intercalation","P 2ac 2","1.18","99","636","117","751","0.23","0.17",""
"mvc-4650_Mg","Mg0 –0.5TiO2","intercalation","C 2y","1.17","291","1145","340","1337","0.18","0.06",""
"mp-1048892_Zn","Zn0 –0.5VO2","intercalation","R 3 2""","1.17","232","1122","271","1312","0.21","0.08",""
"mp-1042573_Zn","Zn0.25 –0.5CoO2","intercalation","P 1","1.17","108","559","127","653","0.16","0.24",""
"mp-1048371_Al","Al0 –1BaCr4O7","intercalation","P 6c 2c","1.17","166","789","195","927","0.49","0.42",""
"mp-773060_Li","Li0 –2Ba6Ta9Ti7O42","intercalation","C 2y","1.16","15","101","18","117","0","0.01",""
"mp-1048243_Zn","Zn0 –1VP2O7","intercalation","-P 2ybc","1.16","185","691","215","804","0.1","0.02",""
"mp-752433_Li","Li0 –1La3Ti4O12","intercalation","A 2 2","1.16","33","183","38","212","0.03","0.03",""
"mp-766028_Li","LiKTi2(PO5)2","intercalation","P 2c 2n","1.16","18","50","21","58","0.03","0.04",""
"mp-554278_Li","Li0 –1TiO2","intercalation","-C 2y","1.16","309","1126","359","1309","0","0.06",""
