"Battid","Reduced Cell Formula","Type","Spacegroup","Average Voltage","Capacity Grav","Capacity Vol","Specific E Wh/kg","E Density Wh/l","Stability Charge","Stability Discharge",""
"mp-31800_Li","Li0 –1Fe2P3O10","intercalation","-P 2yb","3.76","72","241","271","904","0.04","0",""
"mp-31833_Li","LiFe3(P2O7)2","intercalation","-P 2ybc","3.61","101","333","366","1204","0.04","0",""
"mp-767569_Li","LiMn3Fe(PO4)4","intercalation","C 2y","3.72","171","574","634","2134","0.01","0",""
"mp-775195_Li","LiMn11Fe(PO4)12","intercalation","P 2y","3.79","171","571","648","2167","0.01","0",""
"mp-776882_Li","Li0 –1V2O5","intercalation","-P 2ac 2n","3.62","142","452","514","1636","0","0",""
"mp-773279_Li","LiMn3Fe(PO4)4","intercalation","P 2y","3.72","171","575","634","2139","0.01","0",""
"mp-767833_Li","LiMnFe(PO4)2","intercalation","P 2y","3.62","170","580","617","2099","0.01","0",""
"mp-764402_Li","LiMnFe(PO4)2","intercalation","P 2ac 2","3.61","170","578","615","2087","0.01","0",""
"mp-773263_Li","LiMnFe(PO4)2","intercalation","-P 2yb","3.62","170","580","617","2100","0.01","0",""
"mp-764401_Li","LiMnFe(PO4)2","intercalation","P 2c 2","3.62","170","579","616","2094","0.01","0",""
"mp-763186_Li","Li0 –2Mn3SbO8","intercalation","P 6c 2c","3.92","125","579","490","2266","0.05","0",""
"mp-1177547_Li","Li4 –7Co5O12","intercalation","P 2yb","3.87","150","677","581","2620","0.05","0",""
"mp-1045644_Li","Li0 –1CoO2","intercalation","-R 3 2""","3.79","274","1349","1037","5106","0.01","0",""
"mp-18997_Li","Li0 –1MnPO4","intercalation","-P 2ac 2n","3.82","171","568","653","2171","0","0",""
"mp-1176547_Li","LiVFe(P2O7)2","intercalation","P 1","3.76","169","479","635","1800","0.02","0",""
"mp-769977_Li","Li3 –4CrFe3O8","intercalation","-P 1","3.9","71","296","278","1154","0.06","0",""
"mp-765495_Li","Li3 –4CrFe3O8","intercalation","-C 2y","3.75","71","294","268","1105","0.05","0",""
"mp-769983_Li","Li1.33 –2CrFeO4","intercalation","-P 1","3.89","96","397","374","1545","0.08","0",""
"mp-1177178_Li","Li0 –9Mn21O40","intercalation","C 2y","3.87","130","530","504","2054","0.04","0",""
"mp-1178027_Li","Li2 –4CoNi3O8","intercalation","-P 1","3.62","137","644","496","2330","0.04","0",""
"mp-762778_Li","Li2 –4FeNi3O8","intercalation","-C 2y","3.63","138","628","501","2275","0.04","0",""
"mp-1177716_Li","Li1 –2CoSiO4","intercalation","P 1","3.9","163","530","634","2070","0.09","0",""
"mp-771063_Li","LiFe3Ni(PO4)4","intercalation","P 2y","3.79","169","597","641","2263","0.04","0",""
"mp-1176867_Li","Li8 –10CoNi9O20","intercalation","P 2y","3.8","55","262","209","997","0.02","0",""
"mp-762905_Li","LiMg(Ni6O13)2","intercalation","P 1","3.72","152","706","565","2623","0.05","0",""
"mp-769771_Li","Li1 –2CoGeO4","intercalation","P 2yc","3.74","128","496","479","1857","0.06","0",""
"mp-1177142_Li","Li1 –2CoSiO4","intercalation","P 2c 2n","3.71","163","514","603","1909","0.06","0",""
"mp-762812_Li","Li1 –2CoSiO4","intercalation","P 2c 2n","3.87","163","519","630","2010","0.09","0",""
"mp-763524_Li","LiFe(CO3)2","intercalation","P 1","3.88","212","520","822","2019","0.1","0",""
"mp-763507_Li","Li1 –2CoGeO4","intercalation","P 2yc","3.73","128","492","478","1839","0.05","0",""
"mp-32405_Li","Li0 –1VP2O7","intercalation","C 2y","3.87","116","367","447","1419","0.03","0",""
"mp-771670_Li","Li0 –2Mn3SnO8","intercalation","P 6c 2c","3.72","126","586","469","2181","0.04","0",""
"mp-1120825_Li","Li5 –10CoNi9O20","intercalation","P 1","3.72","137","659","511","2454","0.05","0",""
"mp-762855_Li","Li8 –10Fe3Ni7O20","intercalation","-P 2y","3.62","55","252","201","912","0.02","0",""
"mp-762851_Li","Li1 –2CoSiO4","intercalation","P 2yc","3.77","163","524","613","1976","0.07","0",""
"mp-1177712_Li","Li1 –2CoSiO4","intercalation","P 2c 2n","3.87","163","527","629","2040","0.09","0",""
"mp-25257_Li","Li7.5 –8Bi2PdO10","intercalation","P 1","3.67","18","98","67","358","0.03","0",""
"mp-780523_Li","LiFe(SO4)2","intercalation","P 2yc","3.82","102","294","391","1124","0.03","0",""
"mp-768437_Li","LiBi(BO3)2","intercalation","-P 2ybc","3.92","77","331","302","1298","0.06","0",""
"mp-555003_Li","Li0 –1WF6","intercalation","-P 2ac 2n","3.6","88","370","317","1334","0","0",""
"mp-765001_Li","Li0 –2Mn3TeO8","intercalation","C 2c 2","3.67","123","565","453","2074","0.06","0",""
"mp-773608_Li","LiMn3(SeO3)4","intercalation","-P 1","3.85","78","291","301","1120","0.02","0",""
"mp-763318_Li","Li0.5 –1CoBO3","intercalation","P 1","3.77","107","363","405","1368","0.09","0",""
"mp-766751_Li","Li0 –1CoBO3","intercalation","C 2yc","3.7","215","745","795","2757","0.08","0",""
"mp-568287_Li","LiVP2(O4F)2","intercalation","P 2yc","3.77","85","240","322","903","0.02","0",""
"mp-1045551_Mg","Mg0 –0.5FeO2","intercalation","I 4bw 2bw 1bw","3.79","268","1138","1016","4314","0.21","0",""
"mp-1044303_Mg","MgTiCr(PO4)3","intercalation","R 3 2""c","3.89","131","401","509","1557","0.04","0",""
"mp-1048269_Mg","Mg0 –1FeP2O7","intercalation","-P 2ybc","3.67","211","697","775","2560","0.11","0",""
"mvc-10873_Mg","Mg0 –0.5CrO2","intercalation","F 4d 2 3 1d","3.6","279","1163","1004","4189","0.19","0",""
"mp-1176594_Li","Li0 –1P4WO12","intercalation","-C 2yc","3.65","53","189","193","688","0.03","0.01",""
"mp-763561_Li","Li0 –2P2WO8","intercalation","-P 2ybc","3.99","138","553","552","2209","0.07","0.01",""
"mp-769711_Li","Li2 –4Cr3CoO8","intercalation","P 1","3.62","145","622","524","2252","0.08","0.01",""
"mp-761831_Li","LiCr(CoO3)2","intercalation","P 1","3.84","280","1297","1077","4982","0.09","0.01",""
"mp-762612_Li","LiMn(Ni2O5)2","intercalation","-P 1","3.7","55","252","205","933","0.03","0.01",""
"mp-1177161_Li","Li0 –8Fe3Co5O16","intercalation","-P 2y","3.95","277","1279","1095","5057","0.11","0.01",""
"mp-762749_Li","Li6 –8MnNi7O16","intercalation","-P 1","3.66","69","318","253","1165","0.03","0.01",""
"mp-763033_Li","Li2 –4Fe3CoO8","intercalation","-C 2y","3.78","140","607","530","2296","0.05","0.01",""
