1.5     -95.29272790                     
1.75    -96.18171998                     
2       -96.61692953                   
2.1     -96.71984882                     
2.2     -96.79571537                     
2.3     -96.85117981                     
2.4     -96.89140448                    
2.45    -96.90707667                     
2.5     -96.92195856                     
2.55     -96.93153720                    
2.6      -96.93873591                    
2.65     -96.94384129                    
2.7      -96.94710797                    
2.8      -96.94900499                    
2.9      -96.94596030                    
3        -96.93919199                  
3.1      -96.92966401                    
3.2      -96.91813766                    
3.4      -96.89137836                    
3.6      -96.86233886                    
3.8      -96.83306715                    
4.0      -96.80477132                   
4.2      -96.77812321                    
4.4  -96.75344096           
