  1.75               -96.07742787       
  2.00                  -96.58020762       
  2.1                   -96.69718208       
 2.2               -96.78281355       
 2.3                    -96.84491695       
  2.4                   -96.88952862       
  2.45                  -96.90676510       
  2.5                   -96.92126425       
 2.55                   -96.93342809       
  2.6               -96.94360267       
  2.65              -96.95208579       
  2.7               -96.95913329       
   2.75                  -96.96496519       
   2.8                   -96.96977015       
  2.9                    -96.97692336       
   3.00                  -96.98162667       
   3.1                   -96.98462247       
   3.2                   -96.98644224       
   3.4                   -96.98794157       
   3.60                  -96.98797468       
   3.8                   -96.98743194       
   4.0                   -96.98671925       
  4.2                    -96.98600994       

  
