  batch      l2_tst    l2_trn     l2_etst   l2_etrn     l2_ftst   l2_ftrn         lr
  59000    5.94e+01  5.67e+01    7.19e-02  6.86e-02    1.93e+00  1.84e+00    4.7e-03
  60000    4.98e+00  5.71e+00    8.79e-03  8.62e-03    1.63e-01  1.87e-01    4.7e-03
  61000    7.40e+00  6.31e+00    2.92e-02  3.10e-02    2.42e-01  2.07e-01    4.7e-03
  62000    1.38e+01  1.26e+01    1.10e-02  9.43e-03    4.53e-01  4.12e-01    4.7e-03
  63000    1.55e+01  1.40e+01    4.52e-02  4.58e-02    5.09e-01  4.57e-01    4.7e-03
  64000    5.75e+00  6.47e+00    5.21e-02  5.07e-02    1.88e-01  2.12e-01    4.7e-03
  65000    5.90e+01  5.51e+01    3.49e-02  3.45e-02    1.93e+00  1.80e+00    4.7e-03
  66000    7.03e+00  6.86e+00    4.15e-02  4.16e-02    2.30e-01  2.25e-01    4.7e-03
  67000    4.21e+00  4.61e+00    5.21e-03  5.41e-03    1.38e-01  1.51e-01    4.7e-03
  68000    8.60e+00  9.18e+00    1.24e-01  1.25e-01    2.81e-01  3.01e-01    4.7e-03
  69000    9.63e+00  9.65e+00    5.68e-02  5.71e-02    3.15e-01  3.16e-01    4.7e-03
  70000    3.04e+01  3.13e+01    7.37e-02  7.48e-02    9.99e-01  1.03e+00    4.6e-03
  71000    5.87e+01  5.60e+01    4.00e-02  4.29e-02    1.93e+00  1.84e+00    4.6e-03
  72000    1.21e+01  1.09e+01    1.29e-01  1.28e-01    3.98e-01  3.60e-01    4.6e-03
  73000    1.01e+01  9.79e+00    1.12e-01  1.12e-01    3.32e-01  3.22e-01    4.6e-03
  74000    7.97e+00  1.05e+01    1.35e-01  1.34e-01    2.62e-01  3.46e-01    4.6e-03
  75000    9.28e+00  8.28e+00    2.22e-02  2.18e-02    3.06e-01  2.73e-01    4.6e-03
  76000    1.35e+01  1.38e+01    1.54e-02  1.46e-02    4.45e-01  4.55e-01    4.6e-03
  77000    7.34e+00  7.25e+00    1.94e-01  1.94e-01    2.41e-01  2.39e-01    4.6e-03
  78000    4.56e+00  3.86e+00    1.99e-02  2.03e-02    1.50e-01  1.27e-01    4.6e-03
  79000    2.62e+01  3.18e+01    9.56e-02  9.49e-02    8.63e-01  1.05e+00    4.6e-03
  80000    5.84e+01  4.94e+01    9.61e-02  8.79e-02    1.93e+00  1.63e+00    4.6e-03
  81000    1.51e+01  1.94e+01    2.96e-01  2.96e-01    4.99e-01  6.43e-01    4.6e-03
  82000    1.08e+01  1.23e+01    3.20e-03  2.78e-03    3.57e-01  4.09e-01    4.6e-03
  83000    5.84e+01  6.67e+01    2.71e-02  3.48e-02    1.93e+00  2.21e+00    4.6e-03
  84000    5.82e+01  5.38e+01    4.20e-02  4.39e-02    1.93e+00  1.78e+00    4.6e-03
  85000    3.02e+01  3.25e+01    2.49e-01  2.52e-01    9.99e-01  1.08e+00    4.6e-03
  86000    5.53e+01  5.11e+01    1.69e-02  1.99e-02    1.83e+00  1.69e+00    4.6e-03
  87000    5.37e+01  5.19e+01    6.44e-02  6.45e-02    1.78e+00  1.72e+00    4.6e-03
  88000    4.78e+01  4.28e+01    2.12e-02  1.24e-02    1.58e+00  1.42e+00    4.6e-03
  89000    6.43e+00  6.00e+00    8.65e-03  8.17e-03    2.13e-01  1.99e-01    4.6e-03
  90000    3.00e+01  3.10e+01    2.56e-02  2.28e-02    9.99e-01  1.03e+00    4.5e-03
  91000    9.58e+00  9.26e+00    1.17e-01  1.17e-01    3.19e-01  3.08e-01    4.5e-03
  92000    1.17e+01  1.10e+01    1.27e-01  1.26e-01    3.90e-01  3.65e-01    4.5e-03
  93000    4.12e+01  4.24e+01    7.13e-02  7.44e-02    1.37e+00  1.41e+00    4.5e-03
  94000    3.17e+01  3.29e+01    3.72e-02  3.80e-02    1.06e+00  1.09e+00    4.5e-03
  95000    2.70e+01  2.82e+01    3.52e-02  3.24e-02    8.98e-01  9.38e-01    4.5e-03
  96000    3.00e+01  2.86e+01    6.39e-02  6.17e-02    9.99e-01  9.53e-01    4.5e-03
  97000    2.33e+01  2.35e+01    7.90e-02  8.09e-02    7.75e-01  7.81e-01    4.5e-03
