  batch      l2_tst    l2_trn     l2_etst   l2_etrn     l2_ftst   l2_ftrn         lr
3081000    2.18e-01  2.24e-01    2.82e-03  2.85e-03    3.99e-02  4.09e-02    1.4e-04
3082000    1.62e-01  1.48e-01    2.74e-03  2.69e-03    2.95e-02  2.71e-02    1.4e-04
3083000    8.64e-01  8.55e-01    5.57e-03  5.38e-03    1.58e-01  1.56e-01    1.4e-04
3084000    2.46e-01  2.35e-01    1.32e-03  1.35e-03    4.51e-02  4.30e-02    1.4e-04
3085000    8.77e-01  9.12e-01    3.13e-02  3.16e-02    1.60e-01  1.66e-01    1.4e-04
3086000    1.59e-01  1.05e-01    8.22e-04  7.84e-04    2.91e-02  1.92e-02    1.4e-04
3087000    1.53e-01  1.31e-01    2.85e-03  2.85e-03    2.79e-02  2.39e-02    1.4e-04
3088000    8.59e-01  9.65e-01    3.78e-03  3.87e-03    1.57e-01  1.77e-01    1.4e-04
3089000    1.75e-01  1.59e-01    1.20e-03  1.25e-03    3.20e-02  2.90e-02    1.4e-04
3090000    1.60e-01  1.56e-01    9.86e-04  9.76e-04    2.94e-02  2.87e-02    1.4e-04
3091000    2.07e-01  2.01e-01    1.13e-03  1.22e-03    3.81e-02  3.70e-02    1.4e-04
3092000    1.33e+00  1.22e+00    7.89e-03  6.45e-03    2.46e-01  2.24e-01    1.4e-04
3093000    2.79e-01  2.89e-01    3.73e-04  5.57e-04    5.15e-02  5.32e-02    1.4e-04
3094000    2.47e-01  2.65e-01    5.26e-04  5.00e-04    4.55e-02  4.89e-02    1.4e-04
3095000    2.45e-01  2.45e-01    4.67e-04  5.06e-04    4.50e-02  4.52e-02    1.4e-04
3096000    2.46e-01  2.50e-01    4.58e-03  4.43e-03    4.52e-02  4.60e-02    1.4e-04
3097000    1.54e-01  1.39e-01    4.53e-03  4.55e-03    2.82e-02  2.55e-02    1.4e-04
3098000    2.13e-01  2.16e-01    6.26e-04  7.55e-04    3.92e-02  3.98e-02    1.4e-04
3099000    2.45e-01  2.88e-01    3.76e-03  3.73e-03    4.51e-02  5.30e-02    1.4e-04
3100000    8.42e-01  7.27e-01    7.65e-03  7.39e-03    1.56e-01  1.35e-01    1.4e-04
3101000    1.53e-01  1.75e-01    2.03e-03  2.11e-03    2.83e-02  3.23e-02    1.4e-04
3102000    2.25e-01  2.34e-01    2.00e-03  2.10e-03    4.16e-02  4.33e-02    1.4e-04
3103000    2.10e-01  2.30e-01    2.05e-03  1.99e-03    3.88e-02  4.26e-02    1.4e-04
3104000    1.50e-01  1.54e-01    2.27e-03  2.24e-03    2.78e-02  2.86e-02    1.4e-04
3105000    2.30e-01  2.16e-01    5.97e-04  6.03e-04    4.27e-02  4.01e-02    1.4e-04
3106000    8.44e-01  8.57e-01    3.52e-03  3.68e-03    1.56e-01  1.59e-01    1.4e-04
3107000    2.24e-01  2.23e-01    3.42e-04  3.59e-04    4.14e-02  4.13e-02    1.4e-04
3108000    1.51e-01  1.36e-01    4.26e-04  3.98e-04    2.80e-02  2.52e-02    1.4e-04
3109000    1.54e-01  1.30e-01    1.62e-03  1.68e-03    2.85e-02  2.41e-02    1.4e-04
3110000    9.28e-01  9.51e-01    1.39e-02  1.36e-02    1.73e-01  1.77e-01    1.4e-04
3111000    2.05e-01  2.03e-01    7.05e-04  6.80e-04    3.82e-02  3.78e-02    1.4e-04
3112000    2.47e-01  4.04e-01    4.78e-04  5.03e-04    4.60e-02  7.53e-02    1.4e-04
3113000    1.50e-01  1.51e-01    1.09e-03  1.07e-03    2.80e-02  2.81e-02    1.4e-04
3114000    1.53e-01  1.14e-01    1.18e-03  1.14e-03    2.86e-02  2.13e-02    1.4e-04
3115000    2.48e-01  1.83e-01    1.19e-03  1.18e-03    4.61e-02  3.41e-02    1.4e-04
3116000    1.63e-01  1.56e-01    1.14e-03  1.19e-03    3.03e-02  2.91e-02    1.4e-04
3117000    2.75e-01  2.54e-01    1.55e-03  1.40e-03    5.12e-02  4.73e-02    1.4e-04
3118000    1.61e-01  1.38e-01    3.36e-04  3.40e-04    3.00e-02  2.57e-02    1.4e-04
3119000    8.38e-01  8.65e-01    1.53e-02  1.56e-02    1.56e-01  1.61e-01    1.4e-04
3120000    2.68e-01  2.50e-01    8.61e-03  8.75e-03    5.00e-02  4.67e-02    1.4e-04
3121000    2.03e-01  1.93e-01    1.12e-03  1.09e-03    3.81e-02  3.61e-02    1.4e-04
3122000    2.40e-01  2.01e-01    1.98e-03  2.00e-03    4.49e-02  3.77e-02    1.4e-04
3123000    1.49e-01  1.24e-01    1.35e-04  1.39e-04    2.79e-02  2.31e-02    1.4e-04
3124000    3.44e-01  3.49e-01    6.19e-03  6.29e-03    6.44e-02  6.52e-02    1.4e-04
3125000    1.54e-01  1.63e-01    3.06e-03  3.10e-03    2.89e-02  3.05e-02    1.4e-04
3126000    2.03e-01  2.03e-01    2.47e-03  2.48e-03    3.80e-02  3.80e-02    1.4e-04
3127000    2.53e-01  1.60e-01    3.78e-03  3.88e-03    4.74e-02  2.99e-02    1.4e-04
3128000    2.42e-01  2.04e-01    1.10e-03  1.03e-03    4.54e-02  3.82e-02    1.4e-04
3129000    2.15e-01  2.09e-01    1.78e-03  1.73e-03    4.03e-02  3.92e-02    1.4e-04
3130000    2.11e-01  2.06e-01    2.75e-03  2.79e-03    3.97e-02  3.87e-02    1.4e-04
3131000    1.53e-01  1.28e-01    4.84e-03  4.79e-03    2.87e-02  2.39e-02    1.4e-04
3132000    2.50e-01  3.06e-01    1.73e-03  1.55e-03    4.70e-02  5.75e-02    1.4e-04
3133000    2.09e-01  2.01e-01    3.00e-04  3.32e-04    3.94e-02  3.79e-02    1.4e-04
3134000    8.28e-01  8.25e-01    1.02e-02  1.12e-02    1.56e-01  1.55e-01    1.4e-04
3135000    1.62e-01  1.66e-01    1.83e-03  1.78e-03    3.04e-02  3.12e-02    1.4e-04
3136000    1.60e-01  2.19e-01    5.35e-04  4.73e-04    3.02e-02  4.13e-02    1.4e-04
3137000    2.00e-01  2.06e-01    2.36e-04  1.99e-04    3.77e-02  3.87e-02    1.4e-04
3138000    2.38e-01  1.77e-01    3.62e-04  3.83e-04    4.49e-02  3.34e-02    1.4e-04
3139000    1.47e-01  1.32e-01    3.34e-04  3.81e-04    2.77e-02  2.48e-02    1.4e-04
3140000    1.58e-01  1.78e-01    2.87e-03  2.87e-03    2.99e-02  3.37e-02    1.3e-04
3141000    1.64e-01  1.90e-01    1.57e-03  1.60e-03    3.10e-02  3.59e-02    1.3e-04
3142000    8.18e-01  7.96e-01    1.42e-02  1.34e-02    1.55e-01  1.51e-01    1.3e-04
3143000    2.40e-01  1.96e-01    2.43e-03  2.52e-03    4.54e-02  3.71e-02    1.3e-04
3144000    2.43e-01  1.68e-01    1.36e-03  1.39e-03    4.60e-02  3.18e-02    1.3e-04
3145000    1.50e-01  1.19e-01    1.67e-04  1.91e-04    2.85e-02  2.25e-02    1.3e-04
3146000    1.48e-01  1.21e-01    5.56e-04  5.65e-04    2.80e-02  2.29e-02    1.3e-04
3147000    2.37e-01  2.20e-01    1.35e-03  1.35e-03    4.49e-02  4.17e-02    1.3e-04
3148000    1.57e-01  1.42e-01    8.80e-04  8.41e-04    2.97e-02  2.69e-02    1.3e-04
3149000    8.31e-01  8.14e-01    2.18e-02  2.22e-02    1.57e-01  1.54e-01    1.3e-04
3150000    1.76e-01  1.53e-01    7.17e-03  7.12e-03    3.32e-02  2.87e-02    1.3e-04
3151000    2.13e-01  1.94e-01    8.31e-04  8.65e-04    4.05e-02  3.70e-02    1.3e-04
3152000    2.37e-01  2.95e-01    3.73e-03  3.66e-03    4.50e-02  5.62e-02    1.3e-04
3153000    8.63e-01  8.72e-01    3.52e-02  3.61e-02    1.64e-01  1.65e-01    1.3e-04
3154000    8.14e-01  8.62e-01    7.57e-03  6.82e-03    1.55e-01  1.64e-01    1.3e-04
3155000    1.96e-01  2.07e-01    1.33e-03  1.22e-03    3.72e-02  3.94e-02    1.3e-04
3156000    1.54e-01  1.70e-01    2.05e-04  2.18e-04    2.93e-02  3.23e-02    1.3e-04
3157000    1.96e-01  1.99e-01    1.11e-03  1.19e-03    3.73e-02  3.79e-02    1.3e-04
3158000    1.64e-01  1.31e-01    2.56e-04  2.18e-04    3.12e-02  2.49e-02    1.3e-04
3159000    1.54e-01  1.40e-01    2.44e-03  2.40e-03    2.93e-02  2.66e-02    1.3e-04
3160000    2.48e-01  2.13e-01    1.17e-03  1.02e-03    4.75e-02  4.07e-02    1.3e-04
3161000    1.52e-01  1.25e-01    7.84e-03  7.83e-03    2.87e-02  2.34e-02    1.3e-04
3162000    8.31e-01  8.78e-01    4.51e-02  4.51e-02    1.58e-01  1.67e-01    1.3e-04
3163000    2.48e-01  2.04e-01    3.15e-03  3.18e-03    4.75e-02  3.89e-02    1.3e-04
3164000    1.51e-01  1.65e-01    5.00e-03  4.99e-03    2.87e-02  3.13e-02    1.3e-04
3165000    1.94e-01  1.86e-01    2.45e-04  2.05e-04    3.71e-02  3.56e-02    1.3e-04
3166000    1.48e-01  1.05e-01    1.20e-04  1.24e-04    2.84e-02  2.01e-02    1.3e-04
3167000    1.52e-01  1.60e-01    2.69e-03  2.70e-03    2.90e-02  3.06e-02    1.3e-04
3168000    7.99e-01  7.87e-01    7.67e-03  7.22e-03    1.53e-01  1.51e-01    1.3e-04
3169000    1.51e-01  1.33e-01    1.99e-04  1.50e-04    2.90e-02  2.55e-02    1.3e-04
3170000    1.52e-01  1.51e-01    6.83e-04  7.74e-04    2.93e-02  2.91e-02    1.3e-04
3171000    8.07e-01  8.28e-01    1.20e-02  1.14e-02    1.55e-01  1.59e-01    1.3e-04
3172000    1.91e-01  1.90e-01    6.66e-04  7.14e-04    3.69e-02  3.66e-02    1.3e-04
3173000    1.54e-01  1.81e-01    3.81e-04  3.50e-04    2.97e-02  3.49e-02    1.3e-04
3174000    1.95e-01  1.99e-01    2.50e-04  1.90e-04    3.76e-02  3.84e-02    1.3e-04
3175000    7.96e-01  7.78e-01    1.64e-02  1.43e-02    1.53e-01  1.50e-01    1.3e-04
3176000    2.34e-01  1.14e-01    1.24e-03  1.16e-03    4.51e-02  2.20e-02    1.3e-04
3177000    7.97e-01  7.16e-01    1.28e-02  1.26e-02    1.53e-01  1.38e-01    1.3e-04
3178000    1.93e-01  1.97e-01    2.36e-04  1.36e-04    3.71e-02  3.79e-02    1.3e-04
3179000    1.45e-01  1.19e-01    9.15e-04  9.41e-04    2.80e-02  2.29e-02    1.3e-04
3180000    1.90e-01  2.10e-01    9.60e-04  1.04e-03    3.67e-02  4.06e-02    1.3e-04
3181000    1.45e-01  1.90e-01    1.00e-03  1.06e-03    2.80e-02  3.68e-02    1.3e-04
3182000    1.51e-01  1.36e-01    8.51e-04  8.75e-04    2.92e-02  2.63e-02    1.3e-04
3183000    1.55e-01  1.79e-01    3.65e-03  3.68e-03    2.99e-02  3.46e-02    1.3e-04
3184000    2.36e-01  2.15e-01    3.64e-03  3.64e-03    4.56e-02  4.16e-02    1.3e-04
3185000    7.93e-01  8.58e-01    1.85e-02  1.72e-02    1.53e-01  1.66e-01    1.3e-04
3186000    2.35e-01  1.98e-01    3.28e-03  3.27e-03    4.54e-02  3.84e-02    1.3e-04
3187000    1.56e-01  1.46e-01    3.84e-04  3.38e-04    3.03e-02  2.83e-02    1.3e-04
3188000    1.61e-01  1.61e-01    9.72e-04  8.15e-04    3.11e-02  3.12e-02    1.3e-04
3189000    8.15e-01  8.36e-01    4.32e-02  4.24e-02    1.57e-01  1.61e-01    1.3e-04
3190000    1.50e-01  1.25e-01    2.99e-03  3.07e-03    2.91e-02  2.43e-02    1.3e-04
3191000    1.47e-01  1.18e-01    7.03e-04  7.23e-04    2.87e-02  2.29e-02    1.3e-04
3192000    1.55e-01  1.62e-01    1.54e-03  1.56e-03    3.01e-02  3.15e-02    1.3e-04
3193000    1.52e-01  1.57e-01    1.93e-03  1.85e-03    2.95e-02  3.05e-02    1.3e-04
3194000    2.33e-01  1.66e-01    1.64e-03  1.49e-03    4.53e-02  3.24e-02    1.3e-04
3195000    1.59e-01  1.43e-01    4.02e-03  4.00e-03    3.09e-02  2.76e-02    1.3e-04
3196000    7.80e-01  7.89e-01    1.19e-02  1.09e-02    1.52e-01  1.54e-01    1.3e-04
3197000    2.51e-01  2.04e-01    4.20e-04  3.37e-04    4.88e-02  3.96e-02    1.3e-04
3198000    1.49e-01  1.60e-01    2.55e-04  2.72e-04    2.90e-02  3.12e-02    1.3e-04
3199000    7.91e-01  7.85e-01    2.51e-02  2.48e-02    1.54e-01  1.52e-01    1.3e-04
3200000    1.53e-01  1.48e-01    2.64e-03  2.62e-03    2.99e-02  2.89e-02    1.3e-04
3201000    2.34e-01  1.56e-01    2.17e-03  2.14e-03    4.59e-02  3.06e-02    1.3e-04
3202000    1.93e-01  1.86e-01    2.61e-04  2.00e-04    3.77e-02  3.65e-02    1.3e-04
3203000    1.00e+00  9.17e-01    1.20e-01  1.22e-01    1.87e-01  1.70e-01    1.3e-04
3204000    7.96e-01  7.59e-01    3.08e-02  3.02e-02    1.55e-01  1.48e-01    1.3e-04
3205000    7.88e-01  8.89e-01    6.63e-03  6.98e-03    1.54e-01  1.74e-01    1.3e-04
3206000    2.30e-01  2.80e-01    1.18e-03  1.07e-03    4.50e-02  5.49e-02    1.3e-04
3207000    1.68e-01  1.94e-01    2.24e-03  2.33e-03    3.29e-02  3.80e-02    1.3e-04
3208000    1.46e-01  1.21e-01    7.57e-04  6.81e-04    2.86e-02  2.37e-02    1.3e-04
3209000    1.42e-01  1.28e-01    2.27e-03  2.21e-03    2.77e-02  2.51e-02    1.3e-04
3210000    1.85e-01  1.75e-01    3.86e-04  3.83e-04    3.64e-02  3.44e-02    1.2e-04
3211000    2.29e-01  3.76e-01    1.42e-03  1.60e-03    4.50e-02  7.39e-02    1.2e-04
3212000    1.46e-01  1.30e-01    1.04e-03  1.07e-03    2.87e-02  2.56e-02    1.2e-04
3213000    1.40e-01  1.22e-01    4.46e-04  4.22e-04    2.76e-02  2.40e-02    1.2e-04
3214000    2.08e-01  2.40e-01    1.63e-02  1.64e-02    3.95e-02  4.60e-02    1.2e-04
3215000    2.27e-01  1.71e-01    6.43e-04  5.92e-04    4.48e-02  3.37e-02    1.2e-04
3216000    1.48e-01  1.69e-01    2.52e-03  2.45e-03    2.90e-02  3.32e-02    1.2e-04
3217000    7.76e-01  7.49e-01    2.81e-02  2.70e-02    1.52e-01  1.47e-01    1.2e-04
3218000    1.54e-01  1.12e-01    2.45e-03  2.38e-03    3.03e-02  2.20e-02    1.2e-04
3219000    7.77e-01  8.55e-01    1.54e-02  1.54e-02    1.53e-01  1.68e-01    1.2e-04
3220000    1.87e-01  1.90e-01    4.34e-04  4.41e-04    3.69e-02  3.76e-02    1.2e-04
3221000    1.45e-01  1.28e-01    1.53e-03  1.47e-03    2.87e-02  2.52e-02    1.2e-04
3222000    1.40e-01  1.33e-01    1.62e-03  1.66e-03    2.78e-02  2.63e-02    1.2e-04
3223000    1.49e-01  1.40e-01    6.67e-03  6.68e-03    2.91e-02  2.74e-02    1.2e-04
3224000    3.58e-01  3.51e-01    4.83e-03  4.87e-03    7.07e-02  6.94e-02    1.2e-04
3225000    2.27e-01  1.63e-01    2.27e-03  2.27e-03    4.48e-02  3.23e-02    1.2e-04
3226000    1.52e-01  1.32e-01    2.42e-03  2.31e-03    2.99e-02  2.61e-02    1.2e-04
3227000    2.40e-01  1.45e-01    1.97e-03  2.05e-03    4.74e-02  2.87e-02    1.2e-04
3228000    8.41e-01  8.65e-01    7.15e-02  7.17e-02    1.63e-01  1.68e-01    1.2e-04
3229000    1.83e-01  1.72e-01    4.19e-04  3.63e-04    3.63e-02  3.41e-02    1.2e-04
3230000    1.39e-01  1.61e-01    4.19e-04  4.18e-04    2.78e-02  3.21e-02    1.2e-04
3231000    2.26e-01  2.62e-01    2.36e-03  2.35e-03    4.50e-02  5.22e-02    1.2e-04
3232000    1.44e-01  1.18e-01    1.92e-03  1.84e-03    2.86e-02  2.35e-02    1.2e-04
3233000    1.83e-01  1.85e-01    7.82e-04  7.38e-04    3.65e-02  3.68e-02    1.2e-04
3234000    1.45e-01  1.34e-01    3.20e-04  4.51e-04    2.89e-02  2.66e-02    1.2e-04
3235000    1.51e-01  1.35e-01    6.13e-04  5.44e-04    3.00e-02  2.69e-02    1.2e-04
3236000    7.71e-01  7.21e-01    9.86e-03  1.01e-02    1.53e-01  1.43e-01    1.2e-04
3237000    7.65e-01  7.20e-01    2.42e-02  2.39e-02    1.52e-01  1.43e-01    1.2e-04
3238000    1.97e-01  1.83e-01    1.05e-02  1.06e-02    3.87e-02  3.58e-02    1.2e-04
3239000    1.40e-01  1.33e-01    7.27e-04  7.19e-04    2.79e-02  2.65e-02    1.2e-04
3240000    1.81e-01  1.79e-01    6.66e-04  6.20e-04    3.61e-02  3.59e-02    1.2e-04
3241000    2.26e-01  1.58e-01    5.05e-03  5.01e-03    4.51e-02  3.16e-02    1.2e-04
3242000    1.43e-01  1.62e-01    1.94e-04  1.77e-04    2.86e-02  3.24e-02    1.2e-04
3243000    1.85e-01  1.90e-01    1.01e-03  1.06e-03    3.69e-02  3.79e-02    1.2e-04
3244000    1.48e-01  1.26e-01    1.67e-03  1.70e-03    2.95e-02  2.53e-02    1.2e-04
3245000    2.25e-01  2.37e-01    1.39e-03  1.39e-03    4.50e-02  4.74e-02    1.2e-04
3246000    7.75e-01  8.11e-01    1.31e-02  1.19e-02    1.55e-01  1.62e-01    1.2e-04
3247000    1.47e-01  1.34e-01    2.47e-04  2.20e-04    2.94e-02  2.68e-02    1.2e-04
3248000    2.28e-01  1.45e-01    2.27e-03  2.23e-03    4.57e-02  2.91e-02    1.2e-04
3249000    1.46e-01  9.24e-02    2.12e-03  2.11e-03    2.91e-02  1.84e-02    1.2e-04
3250000    1.51e-01  1.53e-01    7.40e-03  7.31e-03    3.00e-02  3.04e-02    1.2e-04
3251000    1.90e-01  1.84e-01    2.84e-03  2.80e-03    3.82e-02  3.70e-02    1.2e-04
3252000    1.56e-01  1.43e-01    1.01e-03  1.03e-03    3.14e-02  2.88e-02    1.2e-04
3253000    2.22e-01  2.05e-01    2.38e-04  1.67e-04    4.48e-02  4.13e-02    1.2e-04
3254000    1.49e-01  1.54e-01    3.48e-04  3.64e-04    2.99e-02  3.11e-02    1.2e-04
3255000    1.82e-01  1.73e-01    3.59e-04  3.68e-04    3.66e-02  3.48e-02    1.2e-04
3256000    1.45e-01  1.58e-01    2.07e-03  2.08e-03    2.91e-02  3.17e-02    1.2e-04
3257000    7.89e-01  8.35e-01    4.71e-02  4.73e-02    1.57e-01  1.66e-01    1.2e-04
3258000    1.46e-01  1.14e-01    3.99e-03  3.96e-03    2.92e-02  2.28e-02    1.2e-04
3259000    2.16e-01  2.28e-01    1.65e-03  1.58e-03    4.34e-02  4.60e-02    1.2e-04
3260000    1.49e-01  1.57e-01    9.60e-04  9.57e-04    3.02e-02  3.17e-02    1.2e-04
3261000    2.03e-01  2.05e-01    3.10e-04  3.23e-04    4.11e-02  4.14e-02    1.2e-04
3262000    2.40e-01  1.87e-01    1.52e-02  1.53e-02    4.80e-02  3.70e-02    1.2e-04
3263000    2.70e-01  2.73e-01    3.00e-03  3.12e-03    5.45e-02  5.51e-02    1.2e-04
3264000    1.63e-01  1.37e-01    1.20e-03  1.16e-03    3.30e-02  2.77e-02    1.2e-04
3265000    1.50e-01  1.37e-01    3.38e-03  3.33e-03    3.02e-02  2.77e-02    1.2e-04
3266000    9.75e-01  1.04e+00    2.92e-02  2.87e-02    1.97e-01  2.11e-01    1.2e-04
3267000    2.33e-01  4.01e-01    5.07e-03  5.06e-03    4.71e-02  8.10e-02    1.2e-04
3268000    1.61e-01  1.32e-01    8.53e-03  8.60e-03    3.21e-02  2.59e-02    1.2e-04
3269000    2.23e-01  1.35e-01    1.26e-03  1.34e-03    4.51e-02  2.73e-02    1.2e-04
3270000    2.33e-01  2.50e-01    6.01e-04  5.25e-04    4.74e-02  5.09e-02    1.2e-04
3271000    2.35e-01  1.89e-01    8.56e-04  8.74e-04    4.77e-02  3.84e-02    1.2e-04
3272000    1.40e-01  1.72e-01    8.65e-04  8.54e-04    2.84e-02  3.50e-02    1.2e-04
3273000    1.61e-01  1.26e-01    1.78e-03  1.83e-03    3.28e-02  2.57e-02    1.2e-04
3274000    2.24e-01  2.53e-01    2.39e-03  2.37e-03    4.55e-02  5.14e-02    1.2e-04
3275000    2.50e-01  2.50e-01    5.20e-04  5.07e-04    5.08e-02  5.09e-02    1.2e-04
3276000    2.34e-01  1.98e-01    5.53e-03  5.56e-03    4.75e-02  4.01e-02    1.2e-04
3277000    2.32e-01  2.38e-01    1.46e-03  1.42e-03    4.71e-02  4.83e-02    1.2e-04
3278000    2.06e-01  2.09e-01    8.63e-04  8.40e-04    4.19e-02  4.26e-02    1.2e-04
3279000    1.43e-01  1.25e-01    1.07e-03  1.06e-03    2.90e-02  2.54e-02    1.2e-04
3280000    1.35e-01  1.66e-01    6.56e-04  6.62e-04    2.76e-02  3.39e-02    1.1e-04
3281000    2.01e-01  2.09e-01    2.19e-03  2.28e-03    4.11e-02  4.28e-02    1.1e-04
3282000    1.35e-01  1.21e-01    4.47e-03  4.45e-03    2.75e-02  2.45e-02    1.1e-04
3283000    7.43e-01  6.23e-01    1.56e-02  1.57e-02    1.52e-01  1.27e-01    1.1e-04
3284000    7.38e-01  7.21e-01    2.54e-03  2.07e-03    1.51e-01  1.48e-01    1.1e-04
3285000    1.82e-01  1.76e-01    1.33e-03  1.29e-03    3.72e-02  3.60e-02    1.1e-04
3286000    7.44e-01  7.96e-01    1.13e-02  1.18e-02    1.52e-01  1.63e-01    1.1e-04
3287000    2.22e-01  1.36e-01    3.00e-03  3.09e-03    4.54e-02  2.77e-02    1.1e-04
3288000    1.97e-01  2.01e-01    1.41e-03  1.37e-03    4.03e-02  4.11e-02    1.1e-04
3289000    1.92e-01  1.96e-01    5.93e-04  5.84e-04    3.94e-02  4.01e-02    1.1e-04
3290000    1.45e-01  1.29e-01    1.73e-03  1.77e-03    2.99e-02  2.65e-02    1.1e-04
3291000    1.10e+00  1.15e+00    2.98e-03  2.89e-03    2.25e-01  2.37e-01    1.1e-04
3292000    1.51e-01  1.34e-01    4.60e-03  4.49e-03    3.09e-02  2.74e-02    1.1e-04
3293000    1.96e-01  2.01e-01    1.14e-03  1.16e-03    4.02e-02  4.14e-02    1.1e-04
3294000    1.87e-01  1.78e-01    4.03e-03  4.01e-03    3.83e-02  3.65e-02    1.1e-04
3295000    1.81e-01  1.88e-01    8.07e-04  1.04e-03    3.73e-02  3.86e-02    1.1e-04
3296000    1.81e-01  1.69e-01    1.44e-03  1.41e-03    3.73e-02  3.48e-02    1.1e-04
3297000    1.40e-01  1.14e-01    4.54e-03  4.46e-03    2.85e-02  2.33e-02    1.1e-04
3298000    7.39e-01  7.21e-01    2.23e-02  2.25e-02    1.52e-01  1.48e-01    1.1e-04
3299000    1.82e-01  1.80e-01    1.16e-03  8.96e-04    3.74e-02  3.70e-02    1.1e-04
3300000    1.79e-01  1.76e-01    2.04e-03  2.03e-03    3.69e-02  3.64e-02    1.1e-04
3301000    1.51e-01  1.38e-01    3.74e-04  1.95e-04    3.12e-02  2.86e-02    1.1e-04
3302000    1.33e-01  1.16e-01    5.09e-04  5.38e-04    2.76e-02  2.41e-02    1.1e-04
3303000    1.52e-01  1.41e-01    2.70e-03  2.66e-03    3.13e-02  2.92e-02    1.1e-04
3304000    1.40e-01  1.20e-01    4.17e-04  4.18e-04    2.89e-02  2.49e-02    1.1e-04
3305000    2.18e-01  2.39e-01    1.04e-03  1.08e-03    4.50e-02  4.95e-02    1.1e-04
3306000    7.25e-01  7.33e-01    1.64e-02  1.61e-02    1.50e-01  1.51e-01    1.1e-04
3307000    1.46e-01  1.54e-01    1.58e-03  1.74e-03    3.02e-02  3.19e-02    1.1e-04
3308000    1.77e-01  1.69e-01    1.51e-03  1.46e-03    3.66e-02  3.49e-02    1.1e-04
3309000    2.17e-01  2.46e-01    2.56e-04  2.62e-04    4.49e-02  5.10e-02    1.1e-04
3310000    3.20e-01  3.14e-01    1.83e-02  1.87e-02    6.59e-02  6.46e-02    1.1e-04
3311000    2.16e-01  1.67e-01    7.54e-04  6.90e-04    4.49e-02  3.47e-02    1.1e-04
3312000    1.84e-01  1.89e-01    2.50e-03  2.47e-03    3.82e-02  3.93e-02    1.1e-04
3313000    1.78e-01  1.88e-01    2.33e-03  2.41e-03    3.70e-02  3.91e-02    1.1e-04
3314000    1.79e-01  1.75e-01    3.45e-03  3.48e-03    3.70e-02  3.63e-02    1.1e-04
3315000    6.99e-01  7.24e-01    2.13e-03  3.33e-03    1.45e-01  1.51e-01    1.1e-04
3316000    1.35e-01  1.09e-01    1.26e-03  1.27e-03    2.80e-02  2.26e-02    1.1e-04
3317000    2.17e-01  2.14e-01    2.75e-04  2.16e-04    4.52e-02  4.44e-02    1.1e-04
3318000    1.44e-01  1.52e-01    1.28e-03  1.17e-03    3.00e-02  3.17e-02    1.1e-04
3319000    1.46e-01  1.24e-01    1.28e-02  1.28e-02    2.89e-02  2.42e-02    1.1e-04
3320000    6.77e-01  6.07e-01    1.48e-02  1.40e-02    1.41e-01  1.27e-01    1.1e-04
3321000    1.83e-01  1.87e-01    4.41e-04  4.06e-04    3.83e-02  3.92e-02    1.1e-04
3322000    1.35e-01  1.44e-01    3.73e-03  3.69e-03    2.80e-02  3.01e-02    1.1e-04
3323000    7.22e-01  7.26e-01    1.11e-02  9.95e-03    1.51e-01  1.52e-01    1.1e-04
3324000    1.37e-01  1.24e-01    3.00e-03  3.01e-03    2.87e-02  2.59e-02    1.1e-04
3325000    7.18e-01  7.40e-01    1.67e-02  1.68e-02    1.50e-01  1.55e-01    1.1e-04
3326000    7.02e-01  7.93e-01    4.95e-03  7.09e-03    1.47e-01  1.66e-01    1.1e-04
3327000    1.32e-01  1.04e-01    1.93e-03  1.94e-03    2.75e-02  2.18e-02    1.1e-04
3328000    1.42e-01  1.35e-01    2.04e-03  2.00e-03    2.97e-02  2.82e-02    1.1e-04
3329000    1.76e-01  1.78e-01    6.57e-04  6.25e-04    3.69e-02  3.73e-02    1.1e-04
3330000    1.77e-01  1.77e-01    2.17e-03  2.25e-03    3.72e-02  3.71e-02    1.1e-04
3331000    1.37e-01  1.23e-01    7.80e-04  7.41e-04    2.89e-02  2.58e-02    1.1e-04
3332000    1.77e-01  1.76e-01    6.51e-04  5.58e-04    3.72e-02  3.69e-02    1.1e-04
3333000    1.37e-01  1.10e-01    7.96e-04  8.17e-04    2.87e-02  2.32e-02    1.1e-04
3334000    1.79e-01  1.92e-01    1.23e-03  1.22e-03    3.77e-02  4.03e-02    1.1e-04
3335000    2.34e-01  2.07e-01    3.50e-04  3.20e-04    4.92e-02  4.35e-02    1.1e-04
3336000    1.75e-01  1.75e-01    3.14e-04  2.62e-04    3.68e-02  3.68e-02    1.1e-04
3337000    7.12e-01  6.73e-01    2.38e-03  1.51e-03    1.50e-01  1.42e-01    1.1e-04
3338000    1.37e-01  1.30e-01    2.83e-04  2.31e-04    2.89e-02  2.72e-02    1.1e-04
3339000    6.53e-01  5.83e-01    1.33e-02  1.22e-02    1.37e-01  1.23e-01    1.1e-04
3340000    2.13e-01  1.78e-01    1.98e-03  2.06e-03    4.50e-02  3.76e-02    1.1e-04
3341000    1.32e-01  1.22e-01    1.39e-04  1.34e-04    2.79e-02  2.59e-02    1.1e-04
3342000    1.75e-01  1.81e-01    9.19e-03  9.25e-03    3.63e-02  3.76e-02    1.1e-04
3343000    1.76e-01  1.80e-01    5.21e-04  5.01e-04    3.71e-02  3.80e-02    1.1e-04
